datetime,SYSBUSD_open,SYSBUSD_high,SYSBUSD_low,SYSBUSD_close
2022-01-01 00:00:00,0.9883,1.0116,0.9883,0.9991
2022-01-01 01:00:00,0.9993,1.0122,0.9922,0.9922
2022-01-01 02:00:00,0.9921,0.9982,0.9854,0.9982
2022-01-01 03:00:00,0.9983,1.0073,0.995,0.9968
2022-01-01 04:00:00,0.9968,1.0003,0.9802,0.9802
2022-01-01 05:00:00,0.9811,0.9855,0.9706,0.9808
2022-01-01 06:00:00,0.9821,0.9881,0.9748,0.9861
2022-01-01 07:00:00,0.9864,1.0002,0.9805,0.997
2022-01-01 08:00:00,0.997,0.9995,0.9889,0.9969
2022-01-01 09:00:00,0.9957,1.05,0.9957,1.0442
2022-01-01 10:00:00,1.0445,1.0968,1.0274,1.088
2022-01-01 11:00:00,1.0867,1.1689,1.0864,1.1189
2022-01-01 12:00:00,1.1174,1.1464,1.1051,1.1292
2022-01-01 13:00:00,1.1291,1.1595,1.1113,1.1523
2022-01-01 14:00:00,1.1504,1.1546,1.107,1.1133
2022-01-01 15:00:00,1.1108,1.1378,1.098,1.1175
2022-01-01 16:00:00,1.1173,1.141,1.1166,1.1337
2022-01-01 17:00:00,1.1359,1.2364,1.1338,1.1993
2022-01-01 18:00:00,1.2003,1.218,1.1718,1.199
2022-01-01 19:00:00,1.1998,1.2019,1.1484,1.1674
2022-01-01 20:00:00,1.1664,1.2371,1.1552,1.206
2022-01-01 21:00:00,1.206,1.2596,1.1913,1.2458
2022-01-01 22:00:00,1.2458,1.3269,1.2311,1.3197
2022-01-01 23:00:00,1.3226,1.3237,1.2316,1.2514
2022-01-02 00:00:00,1.2515,1.3048,1.2229,1.3048
2022-01-02 01:00:00,1.3024,1.3033,1.2634,1.2858
2022-01-02 02:00:00,1.2855,1.2856,1.219,1.2423
2022-01-02 03:00:00,1.2425,1.2658,1.1877,1.1986
2022-01-02 04:00:00,1.195,1.2284,1.1921,1.2284
2022-01-02 05:00:00,1.2284,1.2448,1.22,1.2448
