datetime,TKOBUSD_open,TKOBUSD_high,TKOBUSD_low,TKOBUSD_close
2022-01-01 00:00:00,1.26,1.283,1.259,1.271
2022-01-01 01:00:00,1.27,1.271,1.263,1.263
2022-01-01 02:00:00,1.263,1.271,1.262,1.27
2022-01-01 03:00:00,1.27,1.273,1.266,1.266
2022-01-01 04:00:00,1.268,1.27,1.252,1.257
2022-01-01 05:00:00,1.258,1.262,1.25,1.259
2022-01-01 06:00:00,1.259,1.262,1.252,1.252
2022-01-01 07:00:00,1.255,1.261,1.252,1.26
2022-01-01 08:00:00,1.26,1.261,1.258,1.26
2022-01-01 09:00:00,1.26,1.262,1.255,1.257
2022-01-01 10:00:00,1.257,1.267,1.254,1.26
2022-01-01 11:00:00,1.26,1.27,1.26,1.264
2022-01-01 12:00:00,1.264,1.276,1.263,1.27
2022-01-01 13:00:00,1.27,1.27,1.263,1.268
2022-01-01 14:00:00,1.27,1.271,1.263,1.267
2022-01-01 15:00:00,1.267,1.27,1.265,1.268
2022-01-01 16:00:00,1.269,1.271,1.263,1.264
2022-01-01 17:00:00,1.263,1.268,1.262,1.266
2022-01-01 18:00:00,1.266,1.276,1.266,1.276
2022-01-01 19:00:00,1.276,1.277,1.268,1.272
2022-01-01 20:00:00,1.271,1.271,1.261,1.263
2022-01-01 21:00:00,1.263,1.267,1.263,1.267
2022-01-01 22:00:00,1.266,1.267,1.262,1.265
2022-01-01 23:00:00,1.266,1.266,1.253,1.259
2022-01-02 00:00:00,1.259,1.262,1.259,1.261
2022-01-02 01:00:00,1.262,1.265,1.262,1.263
2022-01-02 02:00:00,1.262,1.265,1.26,1.263
2022-01-02 03:00:00,1.263,1.265,1.258,1.263
2022-01-02 04:00:00,1.263,1.27,1.261,1.265
2022-01-02 05:00:00,1.265,1.275,1.261,1.274
2022-01-02 06:00:00,1.274,1.277,1.271,1.275
2022-01-02 07:00:00,1.274,1.281,1.269,1.279
2022-01-02 08:00:00,1.28,1.283,1.275,1.276
2022-01-02 09:00:00,1.276,1.278,1.272,1.275
2022-01-02 10:00:00,1.273,1.275,1.269,1.272
2022-01-02 11:00:00,1.273,1.281,1.273,1.281
2022-01-02 12:00:00,1.281,1.284,1.267,1.269
2022-01-02 13:00:00,1.267,1.269,1.252,1.264
2022-01-02 14:00:00,1.265,1.267,1.258,1.262
2022-01-02 15:00:00,1.262,1.271,1.262,1.262
2022-01-02 16:00:00,1.262,1.264,1.26,1.262
2022-01-02 17:00:00,1.262,1.27,1.262,1.27
2022-01-02 18:00:00,1.27,1.271,1.268,1.268
2022-01-02 19:00:00,1.267,1.268,1.261,1.261
2022-01-02 20:00:00,1.261,1.261,1.256,1.26
2022-01-02 21:00:00,1.258,1.261,1.256,1.261
2022-01-02 22:00:00,1.261,1.261,1.254,1.256
2022-01-02 23:00:00,1.256,1.258,1.254,1.258
2022-01-03 00:00:00,1.257,1.265,1.257,1.263
2022-01-03 01:00:00,1.263,1.264,1.256,1.256
2022-01-03 02:00:00,1.255,1.257,1.249,1.25
2022-01-03 03:00:00,1.251,1.253,1.246,1.248
2022-01-03 04:00:00,1.247,1.251,1.241,1.248
2022-01-03 05:00:00,1.248,1.255,1.243,1.253
2022-01-03 06:00:00,1.255,1.262,1.253,1.261
2022-01-03 07:00:00,1.261,1.261,1.25,1.251
2022-01-03 08:00:00,1.253,1.261,1.253,1.258
2022-01-03 09:00:00,1.257,1.262,1.251,1.252
2022-01-03 10:00:00,1.252,1.259,1.249,1.253
2022-01-03 11:00:00,1.255,1.258,1.243,1.252
2022-01-03 12:00:00,1.252,1.257,1.244,1.244
2022-01-03 13:00:00,1.244,1.25,1.243,1.246
2022-01-03 14:00:00,1.246,1.248,1.241,1.242
2022-01-03 15:00:00,1.241,1.241,1.216,1.221
2022-01-03 16:00:00,1.223,1.235,1.222,1.228
2022-01-03 17:00:00,1.228,1.241,1.227,1.237
2022-01-03 18:00:00,1.237,1.243,1.237,1.24
2022-01-03 19:00:00,1.241,1.242,1.232,1.232
2022-01-03 20:00:00,1.231,1.231,1.219,1.22
2022-01-03 21:00:00,1.22,1.224,1.211,1.218
2022-01-03 22:00:00,1.218,1.222,1.212,1.222
2022-01-03 23:00:00,1.221,1.223,1.214,1.217
2022-01-04 00:00:00,1.216,1.226,1.215,1.221
2022-01-04 01:00:00,1.221,1.224,1.219,1.219
2022-01-04 02:00:00,1.222,1.224,1.219,1.222
2022-01-04 03:00:00,1.223,1.234,1.222,1.232
2022-01-04 04:00:00,1.23,1.232,1.218,1.222
2022-01-04 05:00:00,1.221,1.228,1.219,1.228
2022-01-04 06:00:00,1.226,1.231,1.224,1.231
