datetime,TOMOBUSD_open,TOMOBUSD_high,TOMOBUSD_low,TOMOBUSD_close
2022-01-01 00:00:00,1.892,1.929,1.889,1.915
2022-01-01 01:00:00,1.914,1.917,1.909,1.909
2022-01-01 02:00:00,1.91,1.92,1.91,1.92
2022-01-01 03:00:00,1.919,1.929,1.914,1.919
2022-01-01 04:00:00,1.919,1.928,1.904,1.91
2022-01-01 05:00:00,1.911,1.918,1.898,1.909
2022-01-01 06:00:00,1.912,1.927,1.912,1.914
2022-01-01 07:00:00,1.915,1.933,1.914,1.928
2022-01-01 08:00:00,1.928,1.941,1.928,1.94
2022-01-01 09:00:00,1.941,1.943,1.928,1.934
2022-01-01 10:00:00,1.933,1.957,1.933,1.951
2022-01-01 11:00:00,1.944,1.969,1.944,1.956
2022-01-01 12:00:00,1.952,1.97,1.951,1.97
2022-01-01 13:00:00,1.964,1.969,1.956,1.956
2022-01-01 14:00:00,1.961,1.963,1.958,1.959
2022-01-01 15:00:00,1.961,1.973,1.961,1.969
2022-01-01 16:00:00,1.969,1.969,1.962,1.963
2022-01-01 17:00:00,1.958,1.968,1.956,1.968
2022-01-01 18:00:00,1.968,1.98,1.963,1.979
2022-01-01 19:00:00,1.98,1.98,1.961,1.966
2022-01-01 20:00:00,1.966,1.966,1.96,1.96
2022-01-01 21:00:00,1.959,1.96,1.951,1.954
2022-01-01 22:00:00,1.957,1.959,1.957,1.959
2022-01-01 23:00:00,1.96,1.965,1.93,1.938
2022-01-02 00:00:00,1.939,1.952,1.939,1.952
2022-01-02 01:00:00,1.957,1.958,1.957,1.958
2022-01-02 02:00:00,1.955,1.97,1.955,1.97
2022-01-02 03:00:00,1.968,1.984,1.946,1.984
2022-01-02 04:00:00,1.985,1.991,1.975,1.976
2022-01-02 05:00:00,1.976,1.988,1.976,1.988
2022-01-02 06:00:00,1.983,1.992,1.981,1.986
2022-01-02 07:00:00,1.978,2.002,1.977,1.987
2022-01-02 08:00:00,1.984,1.988,1.983,1.983
2022-01-02 09:00:00,1.981,1.992,1.98,1.981
2022-01-02 10:00:00,1.988,1.995,1.983,1.992
2022-01-02 11:00:00,1.988,2.011,1.988,2.004
2022-01-02 12:00:00,2.009,2.015,1.999,2.001
2022-01-02 13:00:00,2.0,2.0,1.962,1.981
2022-01-02 14:00:00,1.984,1.993,1.982,1.986
2022-01-02 15:00:00,1.991,1.992,1.982,1.992
2022-01-02 16:00:00,1.995,2.0,1.988,1.988
2022-01-02 17:00:00,1.994,2.004,1.993,1.999
2022-01-02 18:00:00,2.0,2.0,1.992,1.998
2022-01-02 19:00:00,1.993,1.995,1.986,1.987
2022-01-02 20:00:00,1.991,1.991,1.977,1.98
2022-01-02 21:00:00,1.984,1.986,1.976,1.979
2022-01-02 22:00:00,1.977,1.977,1.956,1.964
2022-01-02 23:00:00,1.961,1.97,1.961,1.968
2022-01-03 00:00:00,1.965,1.979,1.965,1.972
2022-01-03 01:00:00,1.973,1.973,1.962,1.963
2022-01-03 02:00:00,1.96,1.966,1.958,1.966
2022-01-03 03:00:00,1.966,1.966,1.959,1.96
2022-01-03 04:00:00,1.963,1.963,1.943,1.953
2022-01-03 05:00:00,1.954,1.963,1.954,1.963
2022-01-03 06:00:00,1.966,1.986,1.966,1.985
2022-01-03 07:00:00,1.985,1.985,1.97,1.97
2022-01-03 08:00:00,1.977,1.984,1.973,1.98
2022-01-03 09:00:00,1.979,1.986,1.973,1.979
2022-01-03 10:00:00,1.972,1.973,1.953,1.956
2022-01-03 11:00:00,1.951,1.956,1.912,1.927
2022-01-03 12:00:00,1.927,1.938,1.923,1.937
2022-01-03 13:00:00,1.936,1.939,1.93,1.93
2022-01-03 14:00:00,1.934,1.942,1.928,1.93
2022-01-03 15:00:00,1.926,1.926,1.897,1.907
2022-01-03 16:00:00,1.907,1.919,1.902,1.914
2022-01-03 17:00:00,1.915,1.93,1.914,1.92
2022-01-03 18:00:00,1.924,1.933,1.924,1.933
2022-01-03 19:00:00,1.931,1.931,1.903,1.91
2022-01-03 20:00:00,1.907,1.919,1.897,1.901
2022-01-03 21:00:00,1.899,1.901,1.886,1.894
2022-01-03 22:00:00,1.892,1.903,1.892,1.902
2022-01-03 23:00:00,1.905,1.939,1.899,1.915
2022-01-04 00:00:00,1.907,1.928,1.907,1.913
2022-01-04 01:00:00,1.914,1.926,1.914,1.925
2022-01-04 02:00:00,1.928,1.934,1.923,1.934
2022-01-04 03:00:00,1.934,1.941,1.928,1.928
2022-01-04 04:00:00,1.931,1.938,1.926,1.926
2022-01-04 05:00:00,1.928,1.952,1.928,1.943
2022-01-04 06:00:00,1.948,1.948,1.941,1.946
2022-01-04 07:00:00,1.938,1.938,1.925,1.938
2022-01-04 08:00:00,1.942,1.953,1.929,1.95
2022-01-04 09:00:00,1.954,1.965,1.947,1.965
2022-01-04 10:00:00,1.966,1.976,1.95,1.95
2022-01-04 11:00:00,1.947,1.96,1.943,1.955
2022-01-04 12:00:00,1.96,1.992,1.96,1.963
2022-01-04 13:00:00,1.963,1.969,1.903,1.907
