datetime,TORNBUSD_open,TORNBUSD_high,TORNBUSD_low,TORNBUSD_close
2022-01-01 00:00:00,36.42,36.74,36.42,36.74
2022-01-01 01:00:00,36.57,36.58,36.24,36.24
2022-01-01 02:00:00,36.22,36.25,36.22,36.25
2022-01-01 03:00:00,36.35,36.46,36.25,36.46
2022-01-01 04:00:00,36.51,36.74,36.46,36.56
2022-01-01 05:00:00,36.56,36.63,36.4,36.62
2022-01-01 06:00:00,36.49,36.49,36.17,36.17
2022-01-01 07:00:00,36.17,36.35,36.14,36.35
2022-01-01 08:00:00,36.23,36.24,36.01,36.06
2022-01-01 09:00:00,36.14,36.35,36.14,36.35
2022-01-01 10:00:00,36.32,36.45,36.3,36.41
2022-01-01 11:00:00,36.39,36.83,36.39,36.51
2022-01-01 12:00:00,36.36,36.73,36.36,36.51
2022-01-01 13:00:00,36.59,36.59,36.26,36.52
2022-01-01 14:00:00,36.43,36.43,35.96,36.25
2022-01-01 15:00:00,36.27,36.37,36.14,36.37
2022-01-01 16:00:00,36.3,36.39,36.23,36.37
2022-01-01 17:00:00,36.15,36.23,36.15,36.23
2022-01-01 18:00:00,36.26,36.62,36.26,36.49
2022-01-01 19:00:00,36.58,36.58,36.42,36.43
2022-01-01 20:00:00,36.45,36.47,36.35,36.47
2022-01-01 21:00:00,36.48,36.53,36.48,36.53
2022-01-01 22:00:00,36.55,36.96,36.53,36.53
2022-01-01 23:00:00,36.53,36.66,36.35,36.35
2022-01-02 00:00:00,36.6,36.79,36.6,36.64
2022-01-02 01:00:00,36.63,36.71,36.52,36.58
2022-01-02 02:00:00,36.6,36.6,36.53,36.53
2022-01-02 03:00:00,36.58,36.61,36.48,36.55
2022-01-02 04:00:00,36.72,37.01,36.7,36.87
2022-01-02 05:00:00,36.86,36.86,36.81,36.86
2022-01-02 06:00:00,36.72,36.72,36.72,36.72
2022-01-02 07:00:00,36.73,36.82,36.61,36.82
2022-01-02 08:00:00,36.77,36.78,36.56,36.56
2022-01-02 09:00:00,36.56,36.61,36.56,36.58
2022-01-02 10:00:00,36.75,36.75,36.63,36.64
2022-01-02 11:00:00,36.6,36.85,36.53,36.84
2022-01-02 12:00:00,36.78,36.79,36.55,36.67
2022-01-02 13:00:00,36.66,36.66,36.26,36.55
2022-01-02 14:00:00,36.62,36.81,36.49,36.55
2022-01-02 15:00:00,36.54,36.58,36.48,36.5
2022-01-02 16:00:00,36.5,36.59,36.44,36.44
2022-01-02 17:00:00,36.59,36.59,36.44,36.44
2022-01-02 18:00:00,36.57,36.57,36.42,36.42
2022-01-02 19:00:00,36.35,36.35,36.35,36.35
2022-01-02 20:00:00,36.27,36.38,36.23,36.23
2022-01-02 21:00:00,36.2,36.21,36.07,36.1
2022-01-02 22:00:00,36.08,36.08,35.81,35.87
2022-01-02 23:00:00,35.86,35.9,35.85,35.85
2022-01-03 00:00:00,35.93,36.12,35.93,36.11
2022-01-03 01:00:00,36.0,36.3,35.95,36.08
2022-01-03 02:00:00,36.15,36.19,36.15,36.16
2022-01-03 03:00:00,36.18,36.26,36.18,36.21
2022-01-03 04:00:00,36.22,36.22,36.07,36.07
2022-01-03 05:00:00,36.12,36.34,36.12,36.23
2022-01-03 06:00:00,36.4,36.59,36.36,36.59
2022-01-03 07:00:00,36.58,36.63,36.33,36.33
