datetime,TRACUSD_open,TRACUSD_high,TRACUSD_low,TRACUSD_close
2022-01-01 00:00:00,1.2259,1.235,1.2156,1.2302
2022-01-01 01:00:00,1.2262,1.2317,1.2192,1.2196
2022-01-01 02:00:00,1.2201,1.2235,1.2,1.2176
2022-01-01 03:00:00,1.2176,1.22,1.2062,1.2144
2022-01-01 04:00:00,1.2174,1.221,1.19,1.2172
2022-01-01 05:00:00,1.2172,1.2301,1.2046,1.2134
2022-01-01 06:00:00,1.2131,1.2218,1.18,1.1961
2022-01-01 07:00:00,1.1954,1.1976,1.1809,1.1809
2022-01-01 08:00:00,1.1809,1.1946,1.1804,1.1931
2022-01-01 09:00:00,1.192,1.2139,1.1898,1.2044
2022-01-01 10:00:00,1.204,1.2088,1.18,1.1956
2022-01-01 11:00:00,1.1965,1.1981,1.1885,1.1965
2022-01-01 12:00:00,1.1921,1.2131,1.1921,1.2069
2022-01-01 13:00:00,1.2086,1.23,1.2086,1.2293
2022-01-01 14:00:00,1.2278,1.2303,1.2196,1.2301
2022-01-01 15:00:00,1.2306,1.2598,1.2306,1.2525
2022-01-01 16:00:00,1.2596,1.2599,1.2457,1.2534
2022-01-01 17:00:00,1.2511,1.2545,1.2191,1.2484
2022-01-01 18:00:00,1.2524,1.2594,1.2128,1.2266
2022-01-01 19:00:00,1.2259,1.2599,1.2193,1.2243
2022-01-01 20:00:00,1.2243,1.2594,1.2174,1.2341
2022-01-01 21:00:00,1.2368,1.2477,1.22,1.22
2022-01-01 22:00:00,1.2225,1.2475,1.2021,1.2064
2022-01-01 23:00:00,1.2075,1.455,1.1902,1.2912
2022-01-02 00:00:00,1.2912,1.3219,1.2479,1.2555
2022-01-02 01:00:00,1.2564,1.275,1.2456,1.2552
2022-01-02 02:00:00,1.2583,1.2754,1.2376,1.2453
2022-01-02 03:00:00,1.2453,1.31,1.237,1.249
2022-01-02 04:00:00,1.249,1.2514,1.2369,1.2395
2022-01-02 05:00:00,1.2395,1.2415,1.23,1.2415
2022-01-02 06:00:00,1.2434,1.2532,1.2377,1.2456
2022-01-02 07:00:00,1.2465,1.2485,1.2341,1.2412
2022-01-02 08:00:00,1.2399,1.27,1.2347,1.2425
2022-01-02 09:00:00,1.2425,1.2539,1.2425,1.2461
2022-01-02 10:00:00,1.2448,1.2526,1.2405,1.2456
2022-01-02 11:00:00,1.247,1.2608,1.2465,1.2585
2022-01-02 12:00:00,1.2608,1.2608,1.2507,1.2566
2022-01-02 13:00:00,1.2598,1.2607,1.2322,1.2342
2022-01-02 14:00:00,1.2346,1.2449,1.2333,1.2449
2022-01-02 15:00:00,1.2451,1.2649,1.2418,1.2562
2022-01-02 16:00:00,1.2562,1.2684,1.2485,1.2684
2022-01-02 17:00:00,1.2684,1.2699,1.2622,1.2639
2022-01-02 18:00:00,1.2639,1.27,1.2546,1.2592
2022-01-02 19:00:00,1.2592,1.263,1.2548,1.2569
2022-01-02 20:00:00,1.2566,1.2584,1.2491,1.2526
2022-01-02 21:00:00,1.2544,1.2696,1.2521,1.2605
2022-01-02 22:00:00,1.2602,1.295,1.2592,1.282
2022-01-02 23:00:00,1.2834,1.2908,1.2634,1.2643
2022-01-03 00:00:00,1.2662,1.2742,1.2554,1.2693
2022-01-03 01:00:00,1.2693,1.2867,1.266,1.2867
2022-01-03 02:00:00,1.2803,1.2826,1.2589,1.265
2022-01-03 03:00:00,1.2676,1.2684,1.26,1.261
2022-01-03 04:00:00,1.2609,1.2609,1.25,1.2542
2022-01-03 05:00:00,1.2542,1.2673,1.2542,1.2645
2022-01-03 06:00:00,1.2632,1.2672,1.2583,1.2607
2022-01-03 07:00:00,1.2598,1.2701,1.2576,1.2701
2022-01-03 08:00:00,1.2702,1.2785,1.2689,1.2785
2022-01-03 09:00:00,1.2764,1.2813,1.2747,1.2762
2022-01-03 10:00:00,1.2765,1.2835,1.2732,1.2833
2022-01-03 11:00:00,1.2809,1.2865,1.2774,1.2843
2022-01-03 12:00:00,1.2862,1.292,1.2779,1.2843
2022-01-03 13:00:00,1.2853,1.2902,1.2762,1.2762
2022-01-03 14:00:00,1.2792,1.2862,1.2772,1.2778
2022-01-03 15:00:00,1.2778,1.2827,1.2657,1.2657
2022-01-03 16:00:00,1.2655,1.2672,1.2536,1.266
2022-01-03 17:00:00,1.268,1.285,1.2642,1.2732
2022-01-03 18:00:00,1.2751,1.2767,1.2627,1.2663
2022-01-03 19:00:00,1.2661,1.28,1.2584,1.2613
2022-01-03 20:00:00,1.2595,1.2663,1.205,1.2094
2022-01-03 21:00:00,1.2092,1.2438,1.2092,1.2386
2022-01-03 22:00:00,1.2384,1.2488,1.2353,1.2445
2022-01-03 23:00:00,1.2457,1.247,1.2403,1.2419
2022-01-04 00:00:00,1.2443,1.2471,1.24,1.24
2022-01-04 01:00:00,1.2421,1.2429,1.2129,1.2167
2022-01-04 02:00:00,1.2172,1.2244,1.2123,1.2154
2022-01-04 03:00:00,1.216,1.2231,1.21,1.2164
2022-01-04 04:00:00,1.2164,1.2195,1.2031,1.2063
2022-01-04 05:00:00,1.2072,1.2128,1.204,1.211
