datetime,TRBBUSD_open,TRBBUSD_high,TRBBUSD_low,TRBBUSD_close
2022-01-01 00:00:00,33.41,34.0,33.32,33.75
2022-01-01 01:00:00,33.75,33.9,33.7,33.75
2022-01-01 02:00:00,33.62,33.81,33.61,33.81
2022-01-01 03:00:00,33.87,33.97,33.87,33.9
2022-01-01 04:00:00,33.84,33.84,33.55,33.59
2022-01-01 05:00:00,33.7,33.81,33.25,33.56
2022-01-01 06:00:00,33.7,33.7,33.42,33.46
2022-01-01 07:00:00,33.51,33.91,33.51,33.81
2022-01-01 08:00:00,33.79,33.88,33.73,33.81
2022-01-01 09:00:00,33.91,34.08,33.91,33.97
2022-01-01 10:00:00,34.04,34.21,34.04,34.14
2022-01-01 11:00:00,34.25,34.55,34.25,34.27
2022-01-01 12:00:00,34.28,34.72,34.21,34.6
2022-01-01 13:00:00,34.54,34.61,34.38,34.61
2022-01-01 14:00:00,34.57,34.61,34.55,34.61
2022-01-01 15:00:00,34.72,34.92,34.69,34.92
2022-01-01 16:00:00,34.84,34.88,34.66,34.88
2022-01-01 17:00:00,34.73,34.78,34.51,34.78
2022-01-01 18:00:00,34.78,35.32,34.78,35.32
2022-01-01 19:00:00,35.32,35.68,34.92,35.68
2022-01-01 20:00:00,35.59,35.7,34.92,34.96
2022-01-01 21:00:00,34.87,34.98,34.74,34.74
2022-01-01 22:00:00,34.66,34.8,34.62,34.62
2022-01-01 23:00:00,34.8,34.8,34.14,34.14
2022-01-02 00:00:00,34.29,35.64,34.29,34.46
2022-01-02 01:00:00,34.4,34.4,34.17,34.24
2022-01-02 02:00:00,34.19,34.29,34.18,34.18
2022-01-02 03:00:00,34.24,34.26,33.85,34.26
2022-01-02 04:00:00,34.29,34.73,34.29,34.66
2022-01-02 05:00:00,34.66,34.78,34.57,34.78
2022-01-02 06:00:00,34.78,35.01,34.78,34.85
2022-01-02 07:00:00,34.79,35.24,34.53,35.06
2022-01-02 08:00:00,35.05,35.24,34.83,35.24
2022-01-02 09:00:00,35.29,35.32,34.91,34.91
2022-01-02 10:00:00,35.11,35.41,35.06,35.31
2022-01-02 11:00:00,35.29,35.81,35.29,35.81
2022-01-02 12:00:00,35.83,35.96,35.57,35.8
2022-01-02 13:00:00,35.71,35.83,34.98,35.16
2022-01-02 14:00:00,35.27,35.41,35.05,35.05
2022-01-02 15:00:00,35.0,35.24,35.0,35.24
2022-01-02 16:00:00,35.24,35.43,35.24,35.32
2022-01-02 17:00:00,35.46,35.55,35.46,35.52
2022-01-02 18:00:00,35.55,35.83,35.55,35.57
2022-01-02 19:00:00,35.44,35.81,35.44,35.74
2022-01-02 20:00:00,35.69,35.91,35.57,35.81
2022-01-02 21:00:00,35.71,35.71,35.57,35.57
2022-01-02 22:00:00,35.65,35.65,35.0,35.0
2022-01-02 23:00:00,35.17,35.18,35.06,35.06
2022-01-03 00:00:00,34.92,35.36,34.92,35.36
2022-01-03 01:00:00,35.28,35.29,35.28,35.29
2022-01-03 02:00:00,35.15,35.15,34.88,34.96
2022-01-03 03:00:00,35.0,35.11,34.87,34.97
2022-01-03 04:00:00,34.99,35.02,34.74,35.02
2022-01-03 05:00:00,35.11,35.47,35.11,35.41
2022-01-03 06:00:00,35.51,35.97,35.51,35.76
2022-01-03 07:00:00,35.98,36.04,35.62,35.72
2022-01-03 08:00:00,35.75,36.08,35.75,35.9
2022-01-03 09:00:00,35.85,36.11,35.82,35.84
2022-01-03 10:00:00,36.05,36.36,35.85,35.92
2022-01-03 11:00:00,36.05,36.12,35.08,36.02
2022-01-03 12:00:00,36.19,36.47,35.69,36.21
2022-01-03 13:00:00,36.31,36.4,35.77,36.01
2022-01-03 14:00:00,35.85,35.85,35.08,35.08
2022-01-03 15:00:00,35.11,35.11,34.02,34.29
2022-01-03 16:00:00,34.4,34.73,34.27,34.69
2022-01-03 17:00:00,34.69,35.24,34.57,34.98
2022-01-03 18:00:00,35.05,36.47,34.9,36.4
2022-01-03 19:00:00,36.4,36.67,35.29,35.51
2022-01-03 20:00:00,35.44,36.02,34.85,34.87
2022-01-03 21:00:00,34.99,34.99,34.52,34.95
2022-01-03 22:00:00,34.8,34.84,34.45,34.71
2022-01-03 23:00:00,34.78,35.18,34.65,34.78
2022-01-04 00:00:00,34.78,35.16,34.78,34.96
2022-01-04 01:00:00,35.11,35.41,35.01,35.23
2022-01-04 02:00:00,35.23,35.29,35.02,35.27
2022-01-04 03:00:00,35.38,35.39,35.18,35.32
2022-01-04 04:00:00,35.32,35.33,34.98,35.13
2022-01-04 05:00:00,35.13,35.64,35.03,35.64
2022-01-04 06:00:00,35.59,36.51,35.52,36.51
2022-01-04 07:00:00,36.51,37.6,36.41,37.13
2022-01-04 08:00:00,37.24,37.38,36.76,36.97
2022-01-04 09:00:00,36.89,37.34,36.76,37.24
2022-01-04 10:00:00,37.25,37.38,36.8,36.8
2022-01-04 11:00:00,37.03,37.93,36.75,37.39
2022-01-04 12:00:00,37.32,37.38,36.56,36.56
2022-01-04 13:00:00,36.62,37.77,36.42,36.82
