datetime,TVKBUSD_open,TVKBUSD_high,TVKBUSD_low,TVKBUSD_close
2022-01-01 00:00:00,0.2047,0.2078,0.2043,0.2055
2022-01-01 01:00:00,0.2052,0.2061,0.2045,0.2045
2022-01-01 02:00:00,0.2044,0.2066,0.2042,0.2065
2022-01-01 03:00:00,0.2064,0.2065,0.2042,0.2052
2022-01-01 04:00:00,0.2053,0.206,0.2043,0.2046
2022-01-01 05:00:00,0.2048,0.2058,0.2019,0.2035
2022-01-01 06:00:00,0.2034,0.2039,0.2026,0.2027
2022-01-01 07:00:00,0.2027,0.2056,0.2027,0.2053
2022-01-01 08:00:00,0.2055,0.2056,0.2039,0.2043
2022-01-01 09:00:00,0.2045,0.2055,0.2039,0.2039
2022-01-01 10:00:00,0.2039,0.2062,0.2035,0.205
2022-01-01 11:00:00,0.205,0.2075,0.2047,0.2065
2022-01-01 12:00:00,0.2066,0.2094,0.2064,0.2081
2022-01-01 13:00:00,0.2082,0.2103,0.2074,0.2097
2022-01-01 14:00:00,0.2098,0.2099,0.2075,0.2087
2022-01-01 15:00:00,0.2086,0.2104,0.2086,0.21
2022-01-01 16:00:00,0.21,0.2133,0.21,0.213
2022-01-01 17:00:00,0.213,0.215,0.2074,0.2086
2022-01-01 18:00:00,0.2085,0.2088,0.2073,0.2083
2022-01-01 19:00:00,0.2082,0.2088,0.2061,0.2072
2022-01-01 20:00:00,0.2072,0.2075,0.2053,0.2054
2022-01-01 21:00:00,0.2057,0.2063,0.2054,0.2055
2022-01-01 22:00:00,0.2056,0.2064,0.2055,0.2062
2022-01-01 23:00:00,0.2059,0.2062,0.201,0.202
2022-01-02 00:00:00,0.202,0.2041,0.2018,0.2041
2022-01-02 01:00:00,0.204,0.205,0.2035,0.2044
2022-01-02 02:00:00,0.2043,0.2054,0.2039,0.2048
2022-01-02 03:00:00,0.2046,0.2062,0.2032,0.2046
2022-01-02 04:00:00,0.2045,0.2069,0.2044,0.2061
2022-01-02 05:00:00,0.206,0.2067,0.2051,0.2051
2022-01-02 06:00:00,0.2053,0.2069,0.2053,0.2061
2022-01-02 07:00:00,0.2061,0.2069,0.2046,0.2062
2022-01-02 08:00:00,0.206,0.2062,0.2045,0.2052
2022-01-02 09:00:00,0.2051,0.2075,0.2044,0.207
2022-01-02 10:00:00,0.207,0.2079,0.2059,0.2072
2022-01-02 11:00:00,0.2072,0.2093,0.2066,0.2087
2022-01-02 12:00:00,0.2088,0.2103,0.2067,0.2072
2022-01-02 13:00:00,0.2072,0.2093,0.2052,0.2079
2022-01-02 14:00:00,0.2075,0.2085,0.2067,0.2073
2022-01-02 15:00:00,0.2074,0.2114,0.2071,0.2089
2022-01-02 16:00:00,0.2088,0.2105,0.2076,0.2097
2022-01-02 17:00:00,0.21,0.2102,0.2071,0.2078
2022-01-02 18:00:00,0.208,0.2101,0.208,0.2092
2022-01-02 19:00:00,0.209,0.2091,0.207,0.2076
2022-01-02 20:00:00,0.2075,0.2075,0.206,0.207
2022-01-02 21:00:00,0.207,0.207,0.206,0.2062
2022-01-02 22:00:00,0.2063,0.2067,0.2041,0.2048
2022-01-02 23:00:00,0.2047,0.2054,0.2041,0.2051
2022-01-03 00:00:00,0.2051,0.2069,0.2047,0.2063
2022-01-03 01:00:00,0.2063,0.2065,0.2041,0.2041
2022-01-03 02:00:00,0.2041,0.2053,0.2039,0.2052
2022-01-03 03:00:00,0.2054,0.2054,0.203,0.2038
2022-01-03 04:00:00,0.2039,0.2044,0.202,0.2032
2022-01-03 05:00:00,0.2033,0.2065,0.2033,0.2056
2022-01-03 06:00:00,0.2056,0.2075,0.205,0.2071
2022-01-03 07:00:00,0.2071,0.2081,0.2059,0.206
2022-01-03 08:00:00,0.206,0.207,0.2055,0.2061
2022-01-03 09:00:00,0.2061,0.207,0.2055,0.2062
2022-01-03 10:00:00,0.2063,0.2073,0.2055,0.2063
2022-01-03 11:00:00,0.2061,0.2064,0.2029,0.2036
2022-01-03 12:00:00,0.2035,0.2057,0.203,0.2043
2022-01-03 13:00:00,0.2043,0.2055,0.2031,0.2037
2022-01-03 14:00:00,0.2034,0.2052,0.2028,0.2032
2022-01-03 15:00:00,0.2032,0.2032,0.1986,0.201
2022-01-03 16:00:00,0.2009,0.2065,0.2008,0.2028
2022-01-03 17:00:00,0.2027,0.2065,0.2018,0.206
2022-01-03 18:00:00,0.2059,0.2061,0.2039,0.2045
2022-01-03 19:00:00,0.2044,0.2051,0.2024,0.2031
2022-01-03 20:00:00,0.2034,0.2039,0.2019,0.2023
2022-01-03 21:00:00,0.2022,0.2027,0.2001,0.2019
2022-01-03 22:00:00,0.2018,0.2023,0.2011,0.2018
2022-01-03 23:00:00,0.2018,0.2037,0.2005,0.2011
2022-01-04 00:00:00,0.201,0.2034,0.201,0.2018
2022-01-04 01:00:00,0.202,0.203,0.2016,0.2019
2022-01-04 02:00:00,0.2019,0.2035,0.2016,0.2035
2022-01-04 03:00:00,0.2033,0.2053,0.2028,0.2032
2022-01-04 04:00:00,0.2032,0.2043,0.2025,0.2036
2022-01-04 05:00:00,0.2038,0.2067,0.2036,0.2063
2022-01-04 06:00:00,0.2065,0.2075,0.2057,0.2061
2022-01-04 07:00:00,0.2062,0.2063,0.2047,0.2052
2022-01-04 08:00:00,0.2054,0.2101,0.2039,0.2097
2022-01-04 09:00:00,0.21,0.2155,0.2083,0.2117
2022-01-04 10:00:00,0.2117,0.2137,0.2091,0.2093
2022-01-04 11:00:00,0.2094,0.2115,0.2088,0.2101
2022-01-04 12:00:00,0.2104,0.2112,0.2086,0.2087
2022-01-04 13:00:00,0.2089,0.2093,0.202,0.2027
2022-01-04 14:00:00,0.2028,0.2064,0.202,0.2042
2022-01-04 15:00:00,0.2038,0.2059,0.203,0.2049
2022-01-04 16:00:00,0.2049,0.2063,0.2038,0.2059
2022-01-04 17:00:00,0.2054,0.2054,0.2041,0.2041
2022-01-04 18:00:00,0.204,0.2041,0.202,0.2024
2022-01-04 19:00:00,0.2023,0.2056,0.2019,0.2043
2022-01-04 20:00:00,0.204,0.2047,0.2035,0.2041
2022-01-04 21:00:00,0.2041,0.2062,0.2041,0.2062
2022-01-04 22:00:00,0.2062,0.2083,0.2059,0.2069
2022-01-04 23:00:00,0.2068,0.2081,0.2067,0.2075
2022-01-05 00:00:00,0.2074,0.209,0.2057,0.2079
2022-01-05 01:00:00,0.2078,0.2095,0.2075,0.2086
2022-01-05 02:00:00,0.2086,0.2094,0.2078,0.2083
2022-01-05 03:00:00,0.2082,0.2114,0.2074,0.2105
2022-01-05 04:00:00,0.2104,0.2117,0.2082,0.2085
2022-01-05 05:00:00,0.2084,0.2095,0.2074,0.2092
2022-01-05 06:00:00,0.2093,0.2147,0.2064,0.2087
2022-01-05 07:00:00,0.2085,0.2107,0.2063,0.2086
2022-01-05 08:00:00,0.2086,0.2122,0.2077,0.2121
2022-01-05 09:00:00,0.2119,0.2127,0.2082,0.2102
2022-01-05 10:00:00,0.2108,0.215,0.2082,0.2119
2022-01-05 11:00:00,0.2121,0.2163,0.2115,0.2152
2022-01-05 12:00:00,0.2151,0.2169,0.2113,0.2121
2022-01-05 13:00:00,0.2116,0.2141,0.2069,0.2106
2022-01-05 14:00:00,0.2106,0.213,0.1985,0.1991
2022-01-05 15:00:00,0.1989,0.1999,0.1927,0.1938
2022-01-05 16:00:00,0.1937,0.197,0.1911,0.1923
2022-01-05 17:00:00,0.1922,0.1923,0.1801,0.1881
2022-01-05 18:00:00,0.1879,0.1932,0.1872,0.1894
2022-01-05 19:00:00,0.1897,0.1935,0.1885,0.1925
2022-01-05 20:00:00,0.1924,0.1932,0.1863,0.1876
2022-01-05 21:00:00,0.1874,0.1888,0.1863,0.1875
2022-01-05 22:00:00,0.1873,0.1876,0.1834,0.1835
2022-01-05 23:00:00,0.1834,0.1855,0.1812,0.185
2022-01-06 00:00:00,0.1851,0.1868,0.1833,0.185
2022-01-06 01:00:00,0.1849,0.1867,0.1838,0.1847
2022-01-06 02:00:00,0.1847,0.1874,0.1843,0.187
2022-01-06 03:00:00,0.1872,0.1874,0.1828,0.1849
2022-01-06 04:00:00,0.1848,0.1848,0.1792,0.1798
2022-01-06 05:00:00,0.1797,0.1822,0.1797,0.1806
2022-01-06 06:00:00,0.1807,0.1844,0.1795,0.181
2022-01-06 07:00:00,0.1808,0.1827,0.1791,0.1827
2022-01-06 08:00:00,0.1828,0.1848,0.1825,0.1844
2022-01-06 09:00:00,0.1844,0.1893,0.1838,0.186
2022-01-06 10:00:00,0.1862,0.1865,0.1831,0.1854
2022-01-06 11:00:00,0.1853,0.1865,0.1837,0.1846
2022-01-06 12:00:00,0.1846,0.1866,0.1837,0.1856
2022-01-06 13:00:00,0.1858,0.1888,0.1854,0.1883
2022-01-06 14:00:00,0.188,0.1889,0.1869,0.1877
2022-01-06 15:00:00,0.188,0.1887,0.1857,0.1861
2022-01-06 16:00:00,0.1863,0.1868,0.1847,0.186
2022-01-06 17:00:00,0.1861,0.1873,0.1854,0.1869
2022-01-06 18:00:00,0.1866,0.1877,0.1854,0.186
2022-01-06 19:00:00,0.1864,0.188,0.1849,0.1851
2022-01-06 20:00:00,0.1855,0.1867,0.1848,0.1865
2022-01-06 21:00:00,0.1863,0.1865,0.183,0.1838
2022-01-06 22:00:00,0.1836,0.1847,0.1756,0.1762
2022-01-06 23:00:00,0.176,0.1784,0.1713,0.178
2022-01-07 00:00:00,0.178,0.1795,0.1758,0.1771
2022-01-07 01:00:00,0.177,0.177,0.1732,0.1739
2022-01-07 02:00:00,0.1739,0.1742,0.1683,0.1722
2022-01-07 03:00:00,0.1721,0.1757,0.1718,0.1739
2022-01-07 04:00:00,0.1736,0.1773,0.1733,0.1759
2022-01-07 05:00:00,0.1758,0.1793,0.1749,0.1751
2022-01-07 06:00:00,0.1751,0.1757,0.1739,0.1747
2022-01-07 07:00:00,0.1748,0.1767,0.1747,0.1757
2022-01-07 08:00:00,0.1759,0.1767,0.1708,0.1727
2022-01-07 09:00:00,0.1725,0.1753,0.1722,0.1739
2022-01-07 10:00:00,0.1739,0.1739,0.1666,0.1722
2022-01-07 11:00:00,0.1719,0.1765,0.1685,0.1752
2022-01-07 12:00:00,0.1751,0.1766,0.1721,0.1732
2022-01-07 13:00:00,0.1732,0.1733,0.1703,0.1713
2022-01-07 14:00:00,0.1714,0.1716,0.1691,0.1706
2022-01-07 15:00:00,0.1709,0.1717,0.1692,0.1709
2022-01-07 16:00:00,0.1712,0.172,0.1702,0.1709
2022-01-07 17:00:00,0.1709,0.171,0.1661,0.1674
2022-01-07 18:00:00,0.1675,0.1693,0.1667,0.1682
2022-01-07 19:00:00,0.1687,0.1714,0.1678,0.1707
2022-01-07 20:00:00,0.1707,0.172,0.1706,0.1711
2022-01-07 21:00:00,0.1714,0.1716,0.1688,0.1695
2022-01-07 22:00:00,0.1696,0.1698,0.1679,0.1695
2022-01-07 23:00:00,0.1692,0.1714,0.1692,0.1713
2022-01-08 00:00:00,0.1712,0.1722,0.1709,0.1722
2022-01-08 01:00:00,0.1722,0.1726,0.171,0.1718
2022-01-08 02:00:00,0.1719,0.1732,0.1716,0.1722
2022-01-08 03:00:00,0.1723,0.1754,0.1723,0.1739
2022-01-08 04:00:00,0.1738,0.1754,0.173,0.1732
2022-01-08 05:00:00,0.1734,0.1753,0.1722,0.1726
2022-01-08 06:00:00,0.1729,0.1732,0.1719,0.1727
2022-01-08 07:00:00,0.1726,0.1732,0.1706,0.1715
2022-01-08 08:00:00,0.1713,0.1717,0.1699,0.1709
2022-01-08 09:00:00,0.171,0.1714,0.1687,0.1687
2022-01-08 10:00:00,0.1687,0.1691,0.167,0.1675
2022-01-08 11:00:00,0.1675,0.1689,0.1654,0.166
2022-01-08 12:00:00,0.166,0.1661,0.1569,0.1572
2022-01-08 13:00:00,0.1574,0.1605,0.1546,0.1558
2022-01-08 14:00:00,0.1553,0.1576,0.1543,0.1562
2022-01-08 15:00:00,0.1564,0.1578,0.1551,0.1553
2022-01-08 16:00:00,0.1552,0.1608,0.155,0.1605
2022-01-08 17:00:00,0.1605,0.164,0.1601,0.1624
2022-01-08 18:00:00,0.162,0.1642,0.1605,0.1606
2022-01-08 19:00:00,0.1603,0.1608,0.1576,0.1605
2022-01-08 20:00:00,0.1606,0.1611,0.1591,0.16
2022-01-08 21:00:00,0.1601,0.1624,0.1597,0.1607
2022-01-08 22:00:00,0.1611,0.1611,0.1586,0.1588
2022-01-08 23:00:00,0.1589,0.1606,0.1589,0.1606
2022-01-09 00:00:00,0.1606,0.1609,0.1579,0.1579
2022-01-09 01:00:00,0.1582,0.1592,0.1582,0.1588
2022-01-09 02:00:00,0.1591,0.1598,0.1589,0.1598
2022-01-09 03:00:00,0.1598,0.1604,0.1588,0.1591
2022-01-09 04:00:00,0.1591,0.1612,0.1584,0.1608
2022-01-09 05:00:00,0.1611,0.1613,0.1582,0.1599
2022-01-09 06:00:00,0.1601,0.1636,0.1601,0.1623
2022-01-09 07:00:00,0.1624,0.1632,0.1614,0.1624
2022-01-09 08:00:00,0.1623,0.1628,0.1592,0.1592
2022-01-09 09:00:00,0.1595,0.1604,0.1568,0.1588
2022-01-09 10:00:00,0.1585,0.1592,0.1566,0.1589
2022-01-09 11:00:00,0.1592,0.1635,0.1568,0.1615
2022-01-09 12:00:00,0.1622,0.1659,0.1621,0.1644
2022-01-09 13:00:00,0.1643,0.1653,0.1633,0.1634
2022-01-09 14:00:00,0.1637,0.1669,0.1635,0.1669
