datetime,UFTBUSD_open,UFTBUSD_high,UFTBUSD_low,UFTBUSD_close
2022-01-01 00:00:00,0.6276,0.6344,0.6276,0.6305
2022-01-01 01:00:00,0.632,0.6352,0.632,0.634
2022-01-01 02:00:00,0.6342,0.635,0.632,0.632
2022-01-01 03:00:00,0.6355,0.6355,0.6318,0.6318
2022-01-01 04:00:00,0.6348,0.6395,0.6348,0.6373
2022-01-01 05:00:00,0.6358,0.64,0.6325,0.6344
2022-01-01 06:00:00,0.6348,0.6358,0.6319,0.6329
2022-01-01 07:00:00,0.6332,0.634,0.6278,0.6288
2022-01-01 08:00:00,0.6288,0.6289,0.6256,0.6276
2022-01-01 09:00:00,0.6278,0.6294,0.6273,0.6285
2022-01-01 10:00:00,0.6291,0.6307,0.6274,0.6296
2022-01-01 11:00:00,0.6277,0.6328,0.6277,0.6304
2022-01-01 12:00:00,0.6296,0.637,0.6296,0.6342
2022-01-01 13:00:00,0.6348,0.6371,0.6322,0.634
2022-01-01 14:00:00,0.6328,0.6361,0.6322,0.6323
2022-01-01 15:00:00,0.6323,0.6465,0.6323,0.6414
2022-01-01 16:00:00,0.6409,0.6429,0.6399,0.6412
2022-01-01 17:00:00,0.6415,0.6431,0.64,0.6414
2022-01-01 18:00:00,0.6412,0.6428,0.6383,0.6414
2022-01-01 19:00:00,0.6395,0.6402,0.6354,0.6355
2022-01-01 20:00:00,0.6357,0.6361,0.6342,0.6343
2022-01-01 21:00:00,0.6343,0.635,0.6271,0.6302
2022-01-01 22:00:00,0.6308,0.6329,0.6298,0.6302
2022-01-01 23:00:00,0.6302,0.6329,0.6289,0.6291
2022-01-02 00:00:00,0.6295,0.6316,0.6276,0.6301
2022-01-02 01:00:00,0.6305,0.631,0.6253,0.627
2022-01-02 02:00:00,0.6254,0.6293,0.6227,0.6264
2022-01-02 03:00:00,0.6264,0.633,0.6254,0.6322
2022-01-02 04:00:00,0.6316,0.6415,0.6316,0.6386
2022-01-02 05:00:00,0.6382,0.6388,0.6325,0.6325
2022-01-02 06:00:00,0.6324,0.6379,0.6316,0.6339
2022-01-02 07:00:00,0.6338,0.6344,0.6311,0.6323
2022-01-02 08:00:00,0.6327,0.6331,0.6315,0.632
2022-01-02 09:00:00,0.6316,0.6415,0.627,0.6409
2022-01-02 10:00:00,0.6389,0.6455,0.6331,0.6424
2022-01-02 11:00:00,0.6418,0.6452,0.6373,0.6427
2022-01-02 12:00:00,0.643,0.6444,0.6398,0.6429
2022-01-02 13:00:00,0.6434,0.6442,0.6293,0.6328
2022-01-02 14:00:00,0.6326,0.637,0.6317,0.6323
2022-01-02 15:00:00,0.6325,0.6372,0.6319,0.6348
2022-01-02 16:00:00,0.6352,0.6383,0.6336,0.6369
2022-01-02 17:00:00,0.6354,0.639,0.6347,0.6382
2022-01-02 18:00:00,0.6376,0.6386,0.6352,0.6356
2022-01-02 19:00:00,0.6354,0.6371,0.6329,0.6348
2022-01-02 20:00:00,0.6327,0.6353,0.6322,0.6351
2022-01-02 21:00:00,0.6351,0.6358,0.6341,0.6358
2022-01-02 22:00:00,0.6362,0.6383,0.6362,0.6383
2022-01-02 23:00:00,0.6382,0.6399,0.6368,0.6384
2022-01-03 00:00:00,0.6398,0.64,0.6398,0.64
