datetime,UMAUSD_open,UMAUSD_high,UMAUSD_low,UMAUSD_close
2022-01-01 00:00:00,9.13,9.2,9.07,9.18
2022-01-01 01:00:00,9.18,9.41,9.17,9.22
2022-01-01 02:00:00,9.22,9.23,9.19,9.2
2022-01-01 03:00:00,9.19,9.2,9.15,9.16
2022-01-01 04:00:00,9.15,9.17,9.05,9.16
2022-01-01 05:00:00,9.16,9.32,9.09,9.27
2022-01-01 06:00:00,9.27,9.27,9.2,9.2
2022-01-01 07:00:00,9.21,9.22,9.16,9.22
2022-01-01 08:00:00,9.22,9.25,9.17,9.19
2022-01-01 09:00:00,9.19,9.34,9.19,9.34
2022-01-01 10:00:00,9.34,9.44,9.15,9.25
2022-01-01 11:00:00,9.25,9.29,9.11,9.11
2022-01-01 12:00:00,9.12,9.17,9.1,9.16
2022-01-01 13:00:00,9.16,9.17,9.13,9.16
2022-01-01 14:00:00,9.15,9.17,9.12,9.15
2022-01-01 15:00:00,9.13,9.25,9.12,9.17
2022-01-01 16:00:00,9.17,9.22,9.15,9.2
2022-01-01 17:00:00,9.2,9.27,9.19,9.25
2022-01-01 18:00:00,9.25,9.3,9.19,9.21
2022-01-01 19:00:00,9.23,9.26,9.2,9.22
2022-01-01 20:00:00,9.21,9.28,9.2,9.26
2022-01-01 21:00:00,9.28,9.38,9.26,9.3
2022-01-01 22:00:00,9.3,9.43,9.26,9.43
2022-01-01 23:00:00,9.41,9.43,9.28,9.33
2022-01-02 00:00:00,9.35,9.44,9.26,9.32
2022-01-02 01:00:00,9.3,9.35,9.28,9.35
2022-01-02 02:00:00,9.36,9.39,9.33,9.37
2022-01-02 03:00:00,9.36,9.39,9.3,9.34
2022-01-02 04:00:00,9.34,9.35,9.2,9.21
2022-01-02 05:00:00,9.21,9.27,9.2,9.26
2022-01-02 06:00:00,9.26,9.26,9.23,9.24
2022-01-02 07:00:00,9.26,9.29,9.26,9.29
2022-01-02 08:00:00,9.28,9.35,9.21,9.35
2022-01-02 09:00:00,9.34,9.39,9.31,9.32
2022-01-02 10:00:00,9.31,9.35,9.25,9.29
2022-01-02 11:00:00,9.3,9.36,9.29,9.34
2022-01-02 12:00:00,9.35,9.44,9.28,9.41
2022-01-02 13:00:00,9.41,9.43,9.32,9.38
2022-01-02 14:00:00,9.39,9.4,9.35,9.39
2022-01-02 15:00:00,9.38,9.47,9.38,9.45
2022-01-02 16:00:00,9.46,9.56,9.43,9.55
2022-01-02 17:00:00,9.55,9.56,9.48,9.48
2022-01-02 18:00:00,9.48,9.49,9.3,9.44
2022-01-02 19:00:00,9.44,9.55,9.43,9.53
2022-01-02 20:00:00,9.53,9.69,9.46,9.46
2022-01-02 21:00:00,9.45,9.66,9.4,9.48
2022-01-02 22:00:00,9.48,9.5,9.43,9.46
2022-01-02 23:00:00,9.45,9.54,9.36,9.52
2022-01-03 00:00:00,9.52,9.52,9.38,9.42
2022-01-03 01:00:00,9.4,9.43,9.36,9.42
2022-01-03 02:00:00,9.42,9.42,9.36,9.38
2022-01-03 03:00:00,9.38,9.41,9.26,9.31
2022-01-03 04:00:00,9.31,9.35,9.29,9.3
2022-01-03 05:00:00,9.3,9.35,9.23,9.33
2022-01-03 06:00:00,9.33,9.33,9.24,9.27
2022-01-03 07:00:00,9.28,9.32,9.26,9.32
2022-01-03 08:00:00,9.32,9.34,9.28,9.31
2022-01-03 09:00:00,9.31,9.34,9.22,9.33
2022-01-03 10:00:00,9.33,9.45,9.33,9.45
2022-01-03 11:00:00,9.45,9.5,9.43,9.47
2022-01-03 12:00:00,9.48,9.48,9.37,9.4
2022-01-03 13:00:00,9.4,9.46,9.4,9.44
2022-01-03 14:00:00,9.44,9.45,9.38,9.4
2022-01-03 15:00:00,9.39,9.48,9.36,9.36
2022-01-03 16:00:00,9.37,9.44,9.22,9.26
2022-01-03 17:00:00,9.26,9.37,9.26,9.29
2022-01-03 18:00:00,9.29,9.34,9.22,9.26
2022-01-03 19:00:00,9.24,9.25,9.12,9.13
2022-01-03 20:00:00,9.13,9.18,9.02,9.13
2022-01-03 21:00:00,9.17,9.23,9.12,9.13
2022-01-03 22:00:00,9.13,9.21,9.12,9.21
2022-01-03 23:00:00,9.22,9.32,9.21,9.27
2022-01-04 00:00:00,9.27,9.35,9.15,9.15
2022-01-04 01:00:00,9.15,9.25,9.14,9.18
2022-01-04 02:00:00,9.2,9.3,9.14,9.3
2022-01-04 03:00:00,9.3,9.33,9.28,9.29
2022-01-04 04:00:00,9.29,9.29,9.15,9.21
2022-01-04 05:00:00,9.21,9.23,9.14,9.19
2022-01-04 06:00:00,9.19,9.29,9.17,9.29
2022-01-04 07:00:00,9.29,9.3,9.25,9.27
2022-01-04 08:00:00,9.27,9.34,9.24,9.29
2022-01-04 09:00:00,9.29,9.3,9.24,9.24
2022-01-04 10:00:00,9.24,9.33,9.23,9.32
2022-01-04 11:00:00,9.32,9.35,9.27,9.33
2022-01-04 12:00:00,9.33,9.33,9.23,9.26
2022-01-04 13:00:00,9.25,9.31,9.18,9.28
2022-01-04 14:00:00,9.31,9.42,9.26,9.39
2022-01-04 15:00:00,9.4,9.41,9.24,9.25
2022-01-04 16:00:00,9.25,9.34,9.24,9.25
2022-01-04 17:00:00,9.26,9.37,9.18,9.25
2022-01-04 18:00:00,9.25,9.29,8.99,9.04
2022-01-04 19:00:00,9.03,9.26,9.01,9.11
2022-01-04 20:00:00,9.13,9.2,9.1,9.13
2022-01-04 21:00:00,9.15,9.21,9.12,9.2
2022-01-04 22:00:00,9.19,9.19,9.09,9.14
2022-01-04 23:00:00,9.15,9.15,9.01,9.05
2022-01-05 00:00:00,9.05,9.24,9.0,9.11
2022-01-05 01:00:00,9.1,9.22,9.04,9.14
2022-01-05 02:00:00,9.16,9.25,9.11,9.12
2022-01-05 03:00:00,9.13,9.25,9.13,9.21
2022-01-05 04:00:00,9.21,9.25,9.14,9.21
2022-01-05 05:00:00,9.22,9.3,9.2,9.21
2022-01-05 06:00:00,9.2,9.28,9.17,9.21
2022-01-05 07:00:00,9.21,9.26,9.2,9.26
2022-01-05 08:00:00,9.28,9.31,9.21,9.31
2022-01-05 09:00:00,9.32,9.43,9.27,9.36
2022-01-05 10:00:00,9.36,9.38,9.27,9.38
2022-01-05 11:00:00,9.36,9.38,9.16,9.2
2022-01-05 12:00:00,9.2,9.28,9.1,9.24
2022-01-05 13:00:00,9.22,9.47,9.18,9.47
2022-01-05 14:00:00,9.48,10.6,9.42,9.68
2022-01-05 15:00:00,9.7,10.28,9.64,9.77
2022-01-05 16:00:00,9.77,9.9,9.6,9.61
2022-01-05 17:00:00,9.61,9.71,9.43,9.51
2022-01-05 18:00:00,9.5,9.52,9.29,9.35
2022-01-05 19:00:00,9.34,9.38,8.93,8.98
2022-01-05 20:00:00,8.98,9.17,8.79,9.14
2022-01-05 21:00:00,9.13,10.85,9.13,10.09
2022-01-05 22:00:00,10.09,12.77,10.05,11.04
2022-01-05 23:00:00,11.08,12.06,10.92,11.01
2022-01-06 00:00:00,11.02,11.19,10.28,10.43
2022-01-06 01:00:00,10.42,10.68,10.09,10.27
2022-01-06 02:00:00,10.26,10.36,9.96,10.13
2022-01-06 03:00:00,10.13,10.49,9.97,10.41
2022-01-06 04:00:00,10.39,10.59,9.86,10.22
2022-01-06 05:00:00,10.22,10.3,9.98,10.12
2022-01-06 06:00:00,10.11,10.14,9.81,9.83
2022-01-06 07:00:00,9.82,10.17,9.77,10.15
2022-01-06 08:00:00,10.14,10.15,9.66,9.77
2022-01-06 09:00:00,9.76,9.76,9.45,9.51
2022-01-06 10:00:00,9.51,9.66,9.37,9.44
2022-01-06 11:00:00,9.46,9.59,9.23,9.31
2022-01-06 12:00:00,9.3,9.36,9.12,9.24
2022-01-06 13:00:00,9.26,9.39,9.17,9.21
2022-01-06 14:00:00,9.21,9.25,9.0,9.1
2022-01-06 15:00:00,9.1,9.27,9.03,9.18
2022-01-06 16:00:00,9.17,9.27,9.0,9.09
2022-01-06 17:00:00,9.1,9.16,9.01,9.1
2022-01-06 18:00:00,9.1,10.65,9.04,10.56
2022-01-06 19:00:00,10.57,11.46,10.03,10.8
2022-01-06 20:00:00,10.81,10.98,10.31,10.51
2022-01-06 21:00:00,10.52,10.67,9.85,9.88
2022-01-06 22:00:00,9.88,10.07,9.86,9.87
2022-01-06 23:00:00,9.88,9.88,9.69,9.76
2022-01-07 00:00:00,9.76,10.38,9.75,9.87
2022-01-07 01:00:00,9.86,9.96,9.55,9.73
2022-01-07 02:00:00,9.73,9.86,9.61,9.73
2022-01-07 03:00:00,9.72,9.84,9.13,9.31
2022-01-07 04:00:00,9.3,9.56,9.04,9.53
