datetime,UNFIBUSD_open,UNFIBUSD_high,UNFIBUSD_low,UNFIBUSD_close
2022-01-01 00:00:00,8.072,8.204,8.045,8.121
2022-01-01 01:00:00,8.137,8.19,8.133,8.133
2022-01-01 02:00:00,8.147,8.201,8.146,8.194
2022-01-01 03:00:00,8.173,8.195,8.145,8.17
2022-01-01 04:00:00,8.133,8.141,8.076,8.088
2022-01-01 05:00:00,8.149,8.149,7.991,8.087
2022-01-01 06:00:00,8.086,8.09,8.038,8.047
2022-01-01 07:00:00,8.021,8.136,8.021,8.135
2022-01-01 08:00:00,8.107,8.144,8.096,8.144
2022-01-01 09:00:00,8.101,8.123,8.068,8.123
2022-01-01 10:00:00,8.123,8.149,8.109,8.145
2022-01-01 11:00:00,8.166,8.219,8.164,8.164
2022-01-01 12:00:00,8.161,8.294,8.158,8.261
2022-01-01 13:00:00,8.261,8.331,8.258,8.331
2022-01-01 14:00:00,8.338,8.471,8.241,8.241
2022-01-01 15:00:00,8.279,8.406,8.252,8.37
2022-01-01 16:00:00,8.382,8.45,8.375,8.444
2022-01-01 17:00:00,8.4,8.4,8.361,8.4
2022-01-01 18:00:00,8.428,8.443,8.428,8.443
2022-01-01 19:00:00,8.39,8.469,8.352,8.469
2022-01-01 20:00:00,8.439,8.486,8.416,8.416
2022-01-01 21:00:00,8.407,8.491,8.389,8.472
2022-01-01 22:00:00,8.427,8.556,8.395,8.422
2022-01-01 23:00:00,8.481,8.512,8.352,8.406
2022-01-02 00:00:00,8.378,8.536,8.378,8.514
2022-01-02 01:00:00,8.499,8.505,8.433,8.49
2022-01-02 02:00:00,8.477,8.482,8.45,8.478
2022-01-02 03:00:00,8.46,8.46,8.347,8.454
2022-01-02 04:00:00,8.48,8.519,8.474,8.508
2022-01-02 05:00:00,8.501,8.594,8.489,8.525
2022-01-02 06:00:00,8.526,8.654,8.506,8.634
2022-01-02 07:00:00,8.633,8.735,8.591,8.681
2022-01-02 08:00:00,8.695,8.709,8.61,8.66
