datetime,UNIBUSD_open,UNIBUSD_high,UNIBUSD_low,UNIBUSD_close
2022-01-01 00:00:00,17.2,17.57,17.18,17.28
2022-01-01 01:00:00,17.31,17.33,17.12,17.12
2022-01-01 02:00:00,17.14,17.29,17.1,17.24
2022-01-01 03:00:00,17.24,17.28,17.17,17.17
2022-01-01 04:00:00,17.18,17.25,17.07,17.09
2022-01-01 05:00:00,17.12,17.41,16.86,17.01
2022-01-01 06:00:00,17.02,17.11,16.98,16.98
2022-01-01 07:00:00,17.0,17.11,17.0,17.09
2022-01-01 08:00:00,17.1,17.11,17.04,17.09
2022-01-01 09:00:00,17.1,17.1,17.02,17.07
2022-01-01 10:00:00,17.06,17.23,17.05,17.13
2022-01-01 11:00:00,17.13,17.25,17.11,17.15
2022-01-01 12:00:00,17.15,17.35,17.13,17.34
2022-01-01 13:00:00,17.34,17.4,17.22,17.3
2022-01-01 14:00:00,17.32,17.37,17.25,17.3
2022-01-01 15:00:00,17.31,17.39,17.27,17.33
2022-01-01 16:00:00,17.34,17.42,17.27,17.27
2022-01-01 17:00:00,17.28,17.33,17.23,17.27
2022-01-01 18:00:00,17.28,17.49,17.22,17.46
2022-01-01 19:00:00,17.46,17.54,17.32,17.43
2022-01-01 20:00:00,17.49,17.53,17.29,17.3
2022-01-01 21:00:00,17.32,17.4,17.32,17.35
2022-01-01 22:00:00,17.38,17.42,17.33,17.39
2022-01-01 23:00:00,17.39,17.42,17.09,17.18
2022-01-02 00:00:00,17.17,17.23,17.12,17.23
2022-01-02 01:00:00,17.21,17.26,17.17,17.21
2022-01-02 02:00:00,17.19,17.23,17.16,17.19
2022-01-02 03:00:00,17.17,17.24,17.05,17.24
2022-01-02 04:00:00,17.22,17.4,17.21,17.38
2022-01-02 05:00:00,17.37,17.43,17.31,17.32
2022-01-02 06:00:00,17.32,17.51,17.28,17.35
2022-01-02 07:00:00,17.37,17.51,17.26,17.42
2022-01-02 08:00:00,17.44,17.44,17.32,17.42
2022-01-02 09:00:00,17.42,17.5,17.34,17.5
2022-01-02 10:00:00,17.51,17.6,17.47,17.53
2022-01-02 11:00:00,17.53,17.98,17.51,17.94
2022-01-02 12:00:00,17.96,18.03,17.78,17.81
2022-01-02 13:00:00,17.83,17.83,17.5,17.72
2022-01-02 14:00:00,17.7,17.9,17.7,17.88
2022-01-02 15:00:00,17.87,18.12,17.87,18.03
2022-01-02 16:00:00,18.03,18.08,17.94,18.01
2022-01-02 17:00:00,18.02,18.26,18.02,18.26
2022-01-02 18:00:00,18.26,18.51,18.23,18.41
2022-01-02 19:00:00,18.4,18.48,18.27,18.37
2022-01-02 20:00:00,18.35,18.43,18.27,18.42
2022-01-02 21:00:00,18.43,18.54,18.32,18.44
2022-01-02 22:00:00,18.44,18.46,18.11,18.35
2022-01-02 23:00:00,18.35,18.5,18.29,18.38
2022-01-03 00:00:00,18.4,18.61,18.38,18.57
2022-01-03 01:00:00,18.57,18.58,18.5,18.55
2022-01-03 02:00:00,18.56,18.61,18.43,18.53
2022-01-03 03:00:00,18.54,18.68,18.54,18.64
2022-01-03 04:00:00,18.64,18.91,18.49,18.84
2022-01-03 05:00:00,18.85,19.17,18.8,19.09
2022-01-03 06:00:00,19.1,19.15,18.85,18.94
2022-01-03 07:00:00,18.95,19.03,18.78,18.82
2022-01-03 08:00:00,18.83,19.02,18.82,18.91
2022-01-03 09:00:00,18.89,18.97,18.7,18.73
2022-01-03 10:00:00,18.75,18.83,18.41,18.53
2022-01-03 11:00:00,18.52,18.55,18.02,18.25
2022-01-03 12:00:00,18.25,18.52,18.19,18.47
2022-01-03 13:00:00,18.49,18.58,18.28,18.34
2022-01-03 14:00:00,18.33,18.41,18.27,18.27
2022-01-03 15:00:00,18.26,18.28,17.85,18.03
2022-01-03 16:00:00,18.02,18.18,17.93,18.06
2022-01-03 17:00:00,18.06,18.3,18.04,18.2
2022-01-03 18:00:00,18.18,18.56,18.13,18.46
2022-01-03 19:00:00,18.47,18.96,18.46,18.62
2022-01-03 20:00:00,18.62,18.82,18.47,18.51
2022-01-03 21:00:00,18.52,18.58,18.28,18.44
2022-01-03 22:00:00,18.46,18.46,17.95,18.03
2022-01-03 23:00:00,18.01,18.05,17.73,17.76
2022-01-04 00:00:00,17.75,17.89,17.69,17.87
