datetime,UNIUSD_open,UNIUSD_high,UNIUSD_low,UNIUSD_close
2022-01-01 00:00:00,17.01,17.24,17.01,17.21
2022-01-01 01:00:00,17.2,17.36,17.12,17.26
2022-01-01 02:00:00,17.26,17.38,17.24,17.25
2022-01-01 03:00:00,17.24,17.27,17.14,17.14
2022-01-01 04:00:00,17.16,17.27,17.07,17.19
2022-01-01 05:00:00,17.22,17.56,17.17,17.32
2022-01-01 06:00:00,17.32,17.34,17.12,17.14
2022-01-01 07:00:00,17.14,17.28,17.11,17.25
2022-01-01 08:00:00,17.26,17.28,17.17,17.19
2022-01-01 09:00:00,17.18,17.25,17.07,17.13
2022-01-01 10:00:00,17.17,17.42,16.88,17.02
2022-01-01 11:00:00,17.02,17.12,16.97,16.98
2022-01-01 12:00:00,16.99,17.12,16.97,17.09
2022-01-01 13:00:00,17.08,17.11,17.03,17.1
2022-01-01 14:00:00,17.09,17.11,17.01,17.05
2022-01-01 15:00:00,17.06,17.23,17.04,17.13
2022-01-01 16:00:00,17.13,17.26,17.12,17.15
2022-01-01 17:00:00,17.15,17.35,17.13,17.34
2022-01-01 18:00:00,17.35,17.36,17.23,17.32
2022-01-01 19:00:00,17.32,17.38,17.24,17.32
2022-01-01 20:00:00,17.32,17.4,17.27,17.38
2022-01-01 21:00:00,17.38,17.42,17.26,17.29
2022-01-01 22:00:00,17.3,17.32,17.25,17.29
2022-01-01 23:00:00,17.3,17.5,17.23,17.47
2022-01-02 00:00:00,17.47,17.49,17.32,17.48
2022-01-02 01:00:00,17.48,17.48,17.29,17.31
2022-01-02 02:00:00,17.32,17.41,17.3,17.37
2022-01-02 03:00:00,17.37,17.43,17.33,17.4
2022-01-02 04:00:00,17.38,17.43,17.07,17.19
2022-01-02 05:00:00,17.16,17.23,17.12,17.21
2022-01-02 06:00:00,17.2,17.26,17.16,17.2
2022-01-02 07:00:00,17.2,17.23,17.16,17.2
2022-01-02 08:00:00,17.2,17.25,17.05,17.23
2022-01-02 09:00:00,17.23,17.41,17.21,17.39
2022-01-02 10:00:00,17.38,17.41,17.31,17.32
2022-01-02 11:00:00,17.32,17.42,17.31,17.36
2022-01-02 12:00:00,17.35,17.51,17.27,17.43
2022-01-02 13:00:00,17.43,17.44,17.33,17.42
2022-01-02 14:00:00,17.43,17.52,17.34,17.52
2022-01-02 15:00:00,17.52,17.61,17.47,17.54
2022-01-02 16:00:00,17.54,17.98,17.51,17.94
2022-01-02 17:00:00,17.95,18.04,17.78,17.82
2022-01-02 18:00:00,17.82,17.82,17.49,17.71
2022-01-02 19:00:00,17.72,17.9,17.68,17.87
2022-01-02 20:00:00,17.86,18.13,17.86,18.05
2022-01-02 21:00:00,18.04,18.08,17.95,18.02
2022-01-02 22:00:00,18.01,18.27,18.01,18.27
2022-01-02 23:00:00,18.27,18.52,18.25,18.41
2022-01-03 00:00:00,18.41,18.5,18.28,18.36
2022-01-03 01:00:00,18.36,18.45,18.28,18.43
2022-01-03 02:00:00,18.42,18.56,18.34,18.45
2022-01-03 03:00:00,18.44,18.48,18.11,18.35
2022-01-03 04:00:00,18.35,18.5,18.28,18.4
2022-01-03 05:00:00,18.4,18.62,18.38,18.58
2022-01-03 06:00:00,18.58,18.59,18.5,18.55
2022-01-03 07:00:00,18.56,18.62,18.46,18.53
2022-01-03 08:00:00,18.55,18.69,18.54,18.64
2022-01-03 09:00:00,18.65,18.92,18.49,18.84
2022-01-03 10:00:00,18.84,19.19,18.79,19.1
2022-01-03 11:00:00,19.11,19.16,18.85,18.93
2022-01-03 12:00:00,18.95,19.03,18.77,18.82
2022-01-03 13:00:00,18.82,19.03,18.8,18.91
2022-01-03 14:00:00,18.9,18.98,18.69,18.73
2022-01-03 15:00:00,18.75,18.83,18.43,18.54
2022-01-03 16:00:00,18.54,18.56,18.0,18.26
2022-01-03 17:00:00,18.26,18.52,18.19,18.5
2022-01-03 18:00:00,18.48,18.57,18.29,18.35
2022-01-03 19:00:00,18.35,18.43,18.27,18.27
2022-01-03 20:00:00,18.27,18.3,17.85,18.03
2022-01-03 21:00:00,18.03,18.2,17.95,18.05
2022-01-03 22:00:00,18.05,18.31,18.02,18.19
2022-01-03 23:00:00,18.19,18.55,18.13,18.47
2022-01-04 00:00:00,18.46,18.95,18.46,18.63
2022-01-04 01:00:00,18.6,18.83,18.47,18.5
2022-01-04 02:00:00,18.51,18.59,18.28,18.44
2022-01-04 03:00:00,18.43,18.46,17.95,18.02
2022-01-04 04:00:00,18.02,18.06,17.72,17.76
2022-01-04 05:00:00,17.76,17.9,17.7,17.89
2022-01-04 06:00:00,17.87,18.17,17.82,18.15
2022-01-04 07:00:00,18.15,18.2,17.97,18.11
2022-01-04 08:00:00,18.1,18.19,18.06,18.13
