datetime,USDTEUR_open,USDTEUR_high,USDTEUR_low,USDTEUR_close
2022-01-01 00:00:00,0.8802,0.8807,0.8799,0.8806
2022-01-01 01:00:00,0.8805,0.8814,0.8805,0.8809
2022-01-01 02:00:00,0.881,0.8814,0.8807,0.8813
2022-01-01 03:00:00,0.8813,0.8813,0.8807,0.8808
2022-01-01 04:00:00,0.8808,0.8809,0.8806,0.8807
2022-01-01 05:00:00,0.8807,0.8809,0.8804,0.8809
2022-01-01 06:00:00,0.8809,0.8809,0.8806,0.8806
2022-01-01 07:00:00,0.8806,0.8809,0.8803,0.8808
2022-01-01 08:00:00,0.8809,0.881,0.8803,0.8807
2022-01-01 09:00:00,0.8808,0.8811,0.8807,0.881
2022-01-01 10:00:00,0.881,0.8812,0.8803,0.8812
2022-01-01 11:00:00,0.8808,0.8813,0.8807,0.8809
2022-01-01 12:00:00,0.8808,0.8813,0.8803,0.8809
2022-01-01 13:00:00,0.881,0.8813,0.8808,0.8808
2022-01-01 14:00:00,0.8812,0.8815,0.8808,0.881
2022-01-01 15:00:00,0.881,0.8811,0.8797,0.8806
2022-01-01 16:00:00,0.8808,0.8811,0.8806,0.8811
2022-01-01 17:00:00,0.881,0.8812,0.8807,0.8808
2022-01-01 18:00:00,0.8807,0.8809,0.8785,0.8805
2022-01-01 19:00:00,0.8805,0.8807,0.8802,0.8806
2022-01-01 20:00:00,0.8807,0.8809,0.8784,0.8809
2022-01-01 21:00:00,0.8808,0.8811,0.8806,0.8809
2022-01-01 22:00:00,0.8808,0.881,0.8804,0.8806
2022-01-01 23:00:00,0.8806,0.8808,0.8801,0.8803
2022-01-02 00:00:00,0.8803,0.8808,0.8803,0.8806
2022-01-02 01:00:00,0.8806,0.8808,0.8804,0.8807
2022-01-02 02:00:00,0.8807,0.8808,0.8804,0.8804
2022-01-02 03:00:00,0.8806,0.8808,0.8804,0.8806
2022-01-02 04:00:00,0.8807,0.8807,0.8804,0.8805
2022-01-02 05:00:00,0.8807,0.8807,0.8804,0.8804
2022-01-02 06:00:00,0.8804,0.8806,0.8803,0.8805
2022-01-02 07:00:00,0.8805,0.8809,0.8805,0.8808
2022-01-02 08:00:00,0.8808,0.8809,0.8784,0.8806
2022-01-02 09:00:00,0.8806,0.881,0.8802,0.8809
2022-01-02 10:00:00,0.8808,0.8809,0.8805,0.8805
2022-01-02 11:00:00,0.8805,0.8811,0.8805,0.881
2022-01-02 12:00:00,0.881,0.8819,0.8809,0.8809
2022-01-02 13:00:00,0.8809,0.8814,0.8807,0.881
2022-01-02 14:00:00,0.8808,0.8811,0.8807,0.8808
2022-01-02 15:00:00,0.8809,0.8813,0.8806,0.8806
2022-01-02 16:00:00,0.8807,0.8811,0.8805,0.8806
2022-01-02 17:00:00,0.8806,0.8809,0.8793,0.8806
2022-01-02 18:00:00,0.8806,0.8808,0.8801,0.8804
2022-01-02 19:00:00,0.8804,0.8821,0.8804,0.8805
2022-01-02 20:00:00,0.8805,0.8808,0.8802,0.8807
2022-01-02 21:00:00,0.8806,0.8808,0.8799,0.8807
2022-01-02 22:00:00,0.8807,0.8811,0.8805,0.8809
2022-01-02 23:00:00,0.8809,0.8811,0.8803,0.8804
2022-01-03 00:00:00,0.8803,0.8812,0.8801,0.8811
2022-01-03 01:00:00,0.8811,0.8815,0.8807,0.881
2022-01-03 02:00:00,0.8812,0.8822,0.881,0.8822
2022-01-03 03:00:00,0.8821,0.8823,0.8816,0.8816
2022-01-03 04:00:00,0.8816,0.8823,0.8816,0.8822
2022-01-03 05:00:00,0.8823,0.8826,0.8821,0.8822
2022-01-03 06:00:00,0.8823,0.8825,0.8819,0.882
2022-01-03 07:00:00,0.8821,0.8828,0.8818,0.882
2022-01-03 08:00:00,0.8822,0.8827,0.8792,0.8817
2022-01-03 09:00:00,0.8817,0.8824,0.881,0.8812
2022-01-03 10:00:00,0.8812,0.8814,0.8805,0.881
2022-01-03 11:00:00,0.881,0.8815,0.8802,0.8812
2022-01-03 12:00:00,0.8812,0.8818,0.8809,0.8809
2022-01-03 13:00:00,0.8811,0.8816,0.8795,0.8812
2022-01-03 14:00:00,0.8814,0.8847,0.8812,0.8843
2022-01-03 15:00:00,0.8844,0.8858,0.8843,0.8857
2022-01-03 16:00:00,0.8857,0.8865,0.8852,0.8862
2022-01-03 17:00:00,0.886,0.8868,0.886,0.8866
2022-01-03 18:00:00,0.8866,0.8867,0.8832,0.8858
2022-01-03 19:00:00,0.8858,0.8859,0.8854,0.8856
2022-01-03 20:00:00,0.8857,0.8862,0.884,0.8858
2022-01-03 21:00:00,0.8858,0.8862,0.8856,0.8859
2022-01-03 22:00:00,0.886,0.8863,0.8856,0.8857
2022-01-03 23:00:00,0.8856,0.8859,0.8853,0.8856
2022-01-04 00:00:00,0.8856,0.8856,0.8832,0.885
2022-01-04 01:00:00,0.885,0.8852,0.8848,0.8849
2022-01-04 02:00:00,0.885,0.8854,0.8848,0.8853
2022-01-04 03:00:00,0.8851,0.8856,0.8849,0.8856
2022-01-04 04:00:00,0.8855,0.8856,0.8847,0.8854
2022-01-04 05:00:00,0.8854,0.8854,0.885,0.8852
2022-01-04 06:00:00,0.885,0.886,0.885,0.886
2022-01-04 07:00:00,0.886,0.8869,0.8858,0.886
2022-01-04 08:00:00,0.8862,0.8864,0.8852,0.8862
2022-01-04 09:00:00,0.8862,0.8865,0.8848,0.8852
2022-01-04 10:00:00,0.8852,0.8859,0.8838,0.8859
2022-01-04 11:00:00,0.8859,0.8869,0.8856,0.8869
2022-01-04 12:00:00,0.887,0.8871,0.8866,0.8871
2022-01-04 13:00:00,0.887,0.8874,0.8862,0.8867
2022-01-04 14:00:00,0.8867,0.887,0.8862,0.8866
2022-01-04 15:00:00,0.8864,0.8866,0.8818,0.8842
2022-01-04 16:00:00,0.8842,0.8858,0.8829,0.8857
2022-01-04 17:00:00,0.8857,0.8863,0.8854,0.8855
2022-01-04 18:00:00,0.8859,0.8869,0.8856,0.8867
2022-01-04 19:00:00,0.8868,0.887,0.8858,0.8862
2022-01-04 20:00:00,0.8862,0.8867,0.8859,0.8862
2022-01-04 21:00:00,0.8865,0.8867,0.886,0.8864
2022-01-04 22:00:00,0.8864,0.8866,0.885,0.8864
2022-01-04 23:00:00,0.8864,0.8866,0.886,0.8865
2022-01-05 00:00:00,0.8865,0.8871,0.8862,0.8871
2022-01-05 01:00:00,0.8871,0.8871,0.8862,0.8865
2022-01-05 02:00:00,0.8865,0.8865,0.8856,0.8859
2022-01-05 03:00:00,0.8859,0.886,0.8856,0.8858
2022-01-05 04:00:00,0.8858,0.8863,0.8858,0.8863
2022-01-05 05:00:00,0.8863,0.8864,0.8859,0.8861
2022-01-05 06:00:00,0.886,0.8861,0.8853,0.8858
2022-01-05 07:00:00,0.8857,0.8858,0.8852,0.8855
2022-01-05 08:00:00,0.8852,0.8856,0.8844,0.8851
2022-01-05 09:00:00,0.8852,0.8854,0.8847,0.8849
2022-01-05 10:00:00,0.8849,0.885,0.8843,0.8848
2022-01-05 11:00:00,0.8847,0.8849,0.8834,0.8841
2022-01-05 12:00:00,0.8841,0.8848,0.8833,0.8847
2022-01-05 13:00:00,0.8846,0.8854,0.8833,0.8836
2022-01-05 14:00:00,0.8839,0.8839,0.8821,0.8828
2022-01-05 15:00:00,0.8828,0.8831,0.8822,0.8829
2022-01-05 16:00:00,0.8829,0.8834,0.8814,0.8829
2022-01-05 17:00:00,0.8829,0.883,0.8816,0.882
2022-01-05 18:00:00,0.882,0.8825,0.8817,0.8824
2022-01-05 19:00:00,0.8825,0.8853,0.8823,0.8845
2022-01-05 20:00:00,0.8845,0.8856,0.8844,0.8846
2022-01-05 21:00:00,0.8846,0.885,0.8825,0.8849
2022-01-05 22:00:00,0.8847,0.8855,0.8842,0.8852
2022-01-05 23:00:00,0.8853,0.8854,0.8847,0.8852
2022-01-06 00:00:00,0.8852,0.8853,0.8846,0.8848
2022-01-06 01:00:00,0.8849,0.885,0.8839,0.884
2022-01-06 02:00:00,0.884,0.8844,0.8837,0.8839
2022-01-06 03:00:00,0.8839,0.8846,0.8837,0.884
2022-01-06 04:00:00,0.884,0.8843,0.8838,0.8842
2022-01-06 05:00:00,0.8842,0.885,0.884,0.8845
2022-01-06 06:00:00,0.8845,0.8856,0.8845,0.8855
2022-01-06 07:00:00,0.8856,0.8866,0.8854,0.8864
2022-01-06 08:00:00,0.8864,0.8865,0.8841,0.8863
2022-01-06 09:00:00,0.8862,0.8865,0.883,0.8848
2022-01-06 10:00:00,0.8848,0.8851,0.8833,0.8846
2022-01-06 11:00:00,0.8848,0.8853,0.8837,0.8848
2022-01-06 12:00:00,0.8848,0.8853,0.8845,0.8849
2022-01-06 13:00:00,0.8848,0.8879,0.8842,0.8852
2022-01-06 14:00:00,0.8851,0.8856,0.8837,0.8842
2022-01-06 15:00:00,0.8841,0.8862,0.8838,0.8859
2022-01-06 16:00:00,0.886,0.8864,0.8851,0.8854
2022-01-06 17:00:00,0.8855,0.8863,0.8851,0.8861
