datetime,UTKBUSD_open,UTKBUSD_high,UTKBUSD_low,UTKBUSD_close
2022-01-01 00:00:00,0.3172,0.3223,0.3172,0.3198
2022-01-01 01:00:00,0.321,0.321,0.318,0.318
2022-01-01 02:00:00,0.3186,0.3198,0.3175,0.3194
2022-01-01 03:00:00,0.3199,0.3211,0.3199,0.3211
2022-01-01 04:00:00,0.321,0.3231,0.3202,0.3213
2022-01-01 05:00:00,0.323,0.323,0.3183,0.32
2022-01-01 06:00:00,0.3192,0.3197,0.3165,0.3171
2022-01-01 07:00:00,0.3169,0.3205,0.3169,0.3202
2022-01-01 08:00:00,0.3202,0.3224,0.3196,0.3198
2022-01-01 09:00:00,0.3199,0.3208,0.3189,0.3189
2022-01-01 10:00:00,0.3187,0.32,0.3176,0.3184
2022-01-01 11:00:00,0.32,0.33,0.32,0.325
2022-01-01 12:00:00,0.3246,0.3285,0.3235,0.3261
2022-01-01 13:00:00,0.3265,0.3265,0.3231,0.3257
2022-01-01 14:00:00,0.3254,0.3254,0.3231,0.324
2022-01-01 15:00:00,0.324,0.3248,0.323,0.3239
2022-01-01 16:00:00,0.3248,0.3249,0.3216,0.3216
2022-01-01 17:00:00,0.322,0.3236,0.321,0.323
2022-01-01 18:00:00,0.3224,0.33,0.3224,0.327
2022-01-01 19:00:00,0.326,0.326,0.3215,0.3234
2022-01-01 20:00:00,0.323,0.323,0.3211,0.3223
2022-01-01 21:00:00,0.3217,0.3222,0.3207,0.3222
2022-01-01 22:00:00,0.3223,0.3224,0.3222,0.3224
2022-01-01 23:00:00,0.322,0.322,0.3198,0.321
2022-01-02 00:00:00,0.3218,0.3236,0.3218,0.3236
2022-01-02 01:00:00,0.3235,0.326,0.3228,0.3248
2022-01-02 02:00:00,0.3248,0.3249,0.3248,0.3249
2022-01-02 03:00:00,0.3239,0.3311,0.3231,0.3292
2022-01-02 04:00:00,0.329,0.3293,0.3257,0.3288
2022-01-02 05:00:00,0.3272,0.3314,0.3266,0.3314
2022-01-02 06:00:00,0.331,0.3378,0.3302,0.3345
2022-01-02 07:00:00,0.334,0.3854,0.3329,0.354
2022-01-02 08:00:00,0.3545,0.3927,0.3535,0.3721
2022-01-02 09:00:00,0.3713,0.3743,0.3547,0.3577
2022-01-02 10:00:00,0.357,0.37,0.355,0.3581
2022-01-02 11:00:00,0.3579,0.365,0.3573,0.3584
2022-01-02 12:00:00,0.3588,0.3634,0.354,0.3541
2022-01-02 13:00:00,0.354,0.3572,0.3479,0.35
2022-01-02 14:00:00,0.3508,0.3709,0.3472,0.3593
2022-01-02 15:00:00,0.36,0.3699,0.3542,0.3557
