datetime,VGXUSD_open,VGXUSD_high,VGXUSD_low,VGXUSD_close
2022-01-01 00:00:00,2.96,3.01,2.91,3.01
2022-01-01 01:00:00,3.01,3.02,2.98,2.99
2022-01-01 02:00:00,3.0,3.01,2.97,2.97
2022-01-01 03:00:00,2.98,2.98,2.94,2.96
2022-01-01 04:00:00,2.97,2.98,2.9,2.94
2022-01-01 05:00:00,2.94,3.03,2.91,3.01
2022-01-01 06:00:00,3.01,3.06,3.0,3.01
2022-01-01 07:00:00,3.02,3.08,2.99,3.0
2022-01-01 08:00:00,3.0,3.04,3.0,3.04
2022-01-01 09:00:00,3.04,3.05,3.03,3.04
2022-01-01 10:00:00,3.04,3.04,3.01,3.02
2022-01-01 11:00:00,3.02,3.02,3.01,3.01
2022-01-01 12:00:00,3.02,3.04,3.01,3.04
2022-01-01 13:00:00,3.04,3.06,3.03,3.05
2022-01-01 14:00:00,3.05,3.05,3.02,3.04
2022-01-01 15:00:00,3.03,3.05,3.02,3.03
2022-01-01 16:00:00,3.04,3.06,3.03,3.04
2022-01-01 17:00:00,3.04,3.08,3.03,3.06
2022-01-01 18:00:00,3.06,3.07,2.96,3.01
2022-01-01 19:00:00,3.01,3.03,2.98,3.01
2022-01-01 20:00:00,3.01,3.02,3.0,3.0
2022-01-01 21:00:00,3.0,3.08,3.0,3.04
2022-01-01 22:00:00,3.03,3.15,3.0,3.04
2022-01-01 23:00:00,3.05,3.05,3.02,3.04
2022-01-02 00:00:00,3.04,3.06,3.01,3.04
2022-01-02 01:00:00,3.05,3.05,3.0,3.01
2022-01-02 02:00:00,3.01,3.02,3.0,3.01
2022-01-02 03:00:00,3.01,3.04,2.97,3.0
2022-01-02 04:00:00,3.0,3.01,2.98,2.99
2022-01-02 05:00:00,2.99,3.01,2.98,2.99
2022-01-02 06:00:00,3.0,3.03,3.0,3.02
2022-01-02 07:00:00,3.03,3.03,3.0,3.01
2022-01-02 08:00:00,3.01,3.03,2.99,3.03
2022-01-02 09:00:00,3.03,3.05,3.02,3.05
2022-01-02 10:00:00,3.05,3.05,3.03,3.03
2022-01-02 11:00:00,3.04,3.04,3.02,3.03
2022-01-02 12:00:00,3.02,3.03,2.97,3.01
2022-01-02 13:00:00,3.01,3.01,2.99,3.0
2022-01-02 14:00:00,3.0,3.01,2.99,3.01
2022-01-02 15:00:00,3.0,3.03,2.99,3.03
2022-01-02 16:00:00,3.02,3.07,3.02,3.07
2022-01-02 17:00:00,3.07,3.08,3.05,3.07
2022-01-02 18:00:00,3.07,3.07,2.99,3.01
2022-01-02 19:00:00,3.0,3.03,3.0,3.02
2022-01-02 20:00:00,3.02,3.13,3.01,3.07
2022-01-02 21:00:00,3.07,3.08,3.04,3.05
2022-01-02 22:00:00,3.06,3.07,3.04,3.05
2022-01-02 23:00:00,3.06,3.06,3.04,3.05
2022-01-03 00:00:00,3.05,3.05,3.02,3.03
2022-01-03 01:00:00,3.03,3.07,3.02,3.06
2022-01-03 02:00:00,3.06,3.08,3.05,3.08
2022-01-03 03:00:00,3.07,3.1,3.05,3.05
2022-01-03 04:00:00,3.05,3.06,3.04,3.05
2022-01-03 05:00:00,3.05,3.06,3.03,3.04
2022-01-03 06:00:00,3.04,3.05,3.03,3.04
2022-01-03 07:00:00,3.05,3.05,3.03,3.03
2022-01-03 08:00:00,3.04,3.04,3.02,3.03
2022-01-03 09:00:00,3.03,3.06,3.01,3.05
2022-01-03 10:00:00,3.05,3.05,3.02,3.02
2022-01-03 11:00:00,3.02,3.04,3.02,3.03
2022-01-03 12:00:00,3.03,3.03,3.02,3.02
2022-01-03 13:00:00,3.02,3.03,3.01,3.02
2022-01-03 14:00:00,3.02,3.03,3.01,3.02
2022-01-03 15:00:00,3.02,3.03,3.0,3.02
2022-01-03 16:00:00,3.02,3.02,2.98,2.99
