datetime,VIDTBUSD_open,VIDTBUSD_high,VIDTBUSD_low,VIDTBUSD_close
2022-01-01 00:00:00,0.8037,0.8187,0.8035,0.8187
2022-01-01 01:00:00,0.8189,0.8214,0.8163,0.8163
2022-01-01 02:00:00,0.8151,0.8151,0.8085,0.8141
2022-01-01 03:00:00,0.8135,0.8165,0.8073,0.8073
2022-01-01 04:00:00,0.8092,0.8093,0.8031,0.8069
2022-01-01 05:00:00,0.8069,0.8099,0.8,0.8071
2022-01-01 06:00:00,0.8027,0.8068,0.8025,0.8053
2022-01-01 07:00:00,0.8053,0.8145,0.8053,0.8104
2022-01-01 08:00:00,0.8123,0.8141,0.8061,0.8063
2022-01-01 09:00:00,0.8076,0.8076,0.8009,0.8064
2022-01-01 10:00:00,0.8061,0.8126,0.8048,0.8119
2022-01-01 11:00:00,0.8088,0.8122,0.8075,0.8111
2022-01-01 12:00:00,0.8107,0.8188,0.8076,0.8134
2022-01-01 13:00:00,0.8143,0.8149,0.8071,0.8114
2022-01-01 14:00:00,0.8117,0.8154,0.8093,0.8093
2022-01-01 15:00:00,0.8095,0.8147,0.8093,0.8112
2022-01-01 16:00:00,0.8113,0.8147,0.81,0.8139
2022-01-01 17:00:00,0.8139,0.839,0.8134,0.8345
2022-01-01 18:00:00,0.8342,0.8373,0.8284,0.8339
2022-01-01 19:00:00,0.8292,0.8316,0.8167,0.8188
2022-01-01 20:00:00,0.8189,0.819,0.81,0.81
2022-01-01 21:00:00,0.8121,0.814,0.8106,0.814
2022-01-01 22:00:00,0.8137,0.8156,0.811,0.8144
2022-01-01 23:00:00,0.8144,0.8157,0.8094,0.8118
2022-01-02 00:00:00,0.8101,0.816,0.81,0.812
2022-01-02 01:00:00,0.8148,0.8167,0.8129,0.8165
2022-01-02 02:00:00,0.8126,0.8164,0.8126,0.8131
2022-01-02 03:00:00,0.8131,0.815,0.8102,0.8139
2022-01-02 04:00:00,0.8161,0.8219,0.8151,0.8218
2022-01-02 05:00:00,0.8199,0.8208,0.8167,0.8167
2022-01-02 06:00:00,0.8167,0.8234,0.8167,0.8216
2022-01-02 07:00:00,0.8217,0.8217,0.8163,0.8188
