datetime,VOXELBUSD_open,VOXELBUSD_high,VOXELBUSD_low,VOXELBUSD_close
2022-01-01 00:00:00,3.8145,3.8695,3.721,3.7545
2022-01-01 01:00:00,3.7518,3.7882,3.722,3.7782
2022-01-01 02:00:00,3.772,3.772,3.5403,3.611
2022-01-01 03:00:00,3.611,3.6569,3.5895,3.6326
2022-01-01 04:00:00,3.633,3.637,3.5107,3.5286
2022-01-01 05:00:00,3.5316,3.5737,3.4524,3.4556
2022-01-01 06:00:00,3.461,3.568,3.4556,3.5641
2022-01-01 07:00:00,3.5688,3.5688,3.42,3.4621
2022-01-01 08:00:00,3.4561,3.4886,3.4455,3.485
2022-01-01 09:00:00,3.4849,3.5114,3.4787,3.4878
2022-01-01 10:00:00,3.492,3.5867,3.492,3.5459
2022-01-01 11:00:00,3.5403,3.6799,3.5396,3.6344
2022-01-01 12:00:00,3.6451,3.6861,3.6186,3.6533
2022-01-01 13:00:00,3.6525,3.7181,3.6421,3.6421
2022-01-01 14:00:00,3.6421,3.7035,3.6186,3.668
2022-01-01 15:00:00,3.6674,3.76,3.6642,3.6887
2022-01-01 16:00:00,3.685,3.6956,3.6175,3.6397
2022-01-01 17:00:00,3.6397,3.6437,3.6135,3.6437
2022-01-01 18:00:00,3.6441,3.6507,3.5596,3.5748
2022-01-01 19:00:00,3.5853,3.5855,3.5311,3.559
2022-01-01 20:00:00,3.56,3.7919,3.56,3.69
2022-01-01 21:00:00,3.69,3.6995,3.5743,3.6119
2022-01-01 22:00:00,3.6112,3.7284,3.6112,3.688
2022-01-01 23:00:00,3.688,3.7171,3.6427,3.6706
2022-01-02 00:00:00,3.669,3.7181,3.669,3.7036
2022-01-02 01:00:00,3.7075,4.0,3.68,3.8903
2022-01-02 02:00:00,3.8901,4.1673,3.8723,4.0817
2022-01-02 03:00:00,4.0815,4.1101,3.8627,3.8932
2022-01-02 04:00:00,3.8932,4.0158,3.859,3.9931
2022-01-02 05:00:00,3.993,4.1786,3.915,4.1135
2022-01-02 06:00:00,4.1132,4.3193,4.0238,4.1814
2022-01-02 07:00:00,4.2,4.2682,4.0636,4.12
2022-01-02 08:00:00,4.1214,4.2747,4.0367,4.2587
2022-01-02 09:00:00,4.2587,4.28,4.1072,4.123
2022-01-02 10:00:00,4.1221,4.2315,4.061,4.1031
2022-01-02 11:00:00,4.1031,4.1031,3.9256,4.0264
2022-01-02 12:00:00,4.027,4.0622,3.9671,3.9794
2022-01-02 13:00:00,3.9797,4.1104,3.9338,4.11
2022-01-02 14:00:00,4.1105,4.1162,3.9502,3.9658
2022-01-02 15:00:00,3.963,3.9718,3.934,3.9421
2022-01-02 16:00:00,3.9403,4.069,3.9403,3.96
2022-01-02 17:00:00,3.96,4.0645,3.9549,4.0365
2022-01-02 18:00:00,4.0391,4.1418,4.0108,4.0151
2022-01-02 19:00:00,4.0147,4.1154,3.9851,4.0615
2022-01-02 20:00:00,4.0606,4.0616,3.9022,3.9349
