datetime,WAVESBUSD_open,WAVESBUSD_high,WAVESBUSD_low,WAVESBUSD_close
2022-01-01 00:00:00,14.88,15.1,14.85,14.95
2022-01-01 01:00:00,14.96,15.03,14.91,15.0
2022-01-01 02:00:00,15.02,15.09,14.9,15.02
2022-01-01 03:00:00,15.0,15.05,14.96,14.99
2022-01-01 04:00:00,15.0,15.32,14.98,15.23
2022-01-01 05:00:00,15.24,15.28,14.8,15.0
2022-01-01 06:00:00,15.0,15.15,14.94,15.06
2022-01-01 07:00:00,15.06,15.09,14.98,15.01
2022-01-01 08:00:00,15.02,15.05,14.98,15.01
2022-01-01 09:00:00,15.01,15.03,14.93,14.95
2022-01-01 10:00:00,14.94,15.06,14.93,15.04
2022-01-01 11:00:00,15.05,15.09,15.01,15.03
2022-01-01 12:00:00,15.03,15.15,15.0,15.1
2022-01-01 13:00:00,15.13,15.15,15.02,15.04
2022-01-01 14:00:00,15.04,15.07,14.95,14.98
2022-01-01 15:00:00,14.99,15.05,14.95,15.0
2022-01-01 16:00:00,15.03,15.04,14.93,14.96
2022-01-01 17:00:00,14.96,14.97,14.9,14.94
2022-01-01 18:00:00,14.95,15.1,14.9,15.09
2022-01-01 19:00:00,15.1,15.1,14.95,14.99
2022-01-01 20:00:00,14.99,14.99,14.89,14.9
2022-01-01 21:00:00,14.91,14.94,14.88,14.92
2022-01-01 22:00:00,14.92,14.96,14.92,14.94
2022-01-01 23:00:00,14.93,14.99,14.77,14.82
2022-01-02 00:00:00,14.8,14.92,14.8,14.92
2022-01-02 01:00:00,14.92,15.0,14.88,14.97
2022-01-02 02:00:00,14.96,15.06,14.95,15.06
2022-01-02 03:00:00,15.06,15.18,14.97,15.18
2022-01-02 04:00:00,15.19,15.33,15.13,15.24
2022-01-02 05:00:00,15.24,15.4,15.22,15.25
2022-01-02 06:00:00,15.27,15.4,15.27,15.37
2022-01-02 07:00:00,15.36,15.48,15.25,15.43
2022-01-02 08:00:00,15.43,15.43,15.31,15.41
2022-01-02 09:00:00,15.4,15.48,15.38,15.45
2022-01-02 10:00:00,15.45,15.57,15.29,15.36
2022-01-02 11:00:00,15.38,15.54,15.38,15.53
2022-01-02 12:00:00,15.53,15.6,15.45,15.52
2022-01-02 13:00:00,15.53,15.55,15.26,15.41
2022-01-02 14:00:00,15.43,15.57,15.4,15.55
2022-01-02 15:00:00,15.54,15.56,15.45,15.53
2022-01-02 16:00:00,15.52,15.56,15.41,15.43
2022-01-02 17:00:00,15.42,15.47,15.4,15.46
2022-01-02 18:00:00,15.45,15.48,15.38,15.4
2022-01-02 19:00:00,15.39,15.39,15.28,15.3
2022-01-02 20:00:00,15.29,15.36,15.27,15.34
2022-01-02 21:00:00,15.33,15.35,15.23,15.29
2022-01-02 22:00:00,15.28,15.32,15.18,15.2
2022-01-02 23:00:00,15.2,15.36,15.19,15.3
2022-01-03 00:00:00,15.3,15.36,15.27,15.31
2022-01-03 01:00:00,15.31,15.31,15.24,15.24
2022-01-03 02:00:00,15.24,15.26,15.2,15.24
2022-01-03 03:00:00,15.24,15.26,15.15,15.23
2022-01-03 04:00:00,15.23,15.26,15.1,15.21
2022-01-03 05:00:00,15.23,15.48,15.23,15.46
2022-01-03 06:00:00,15.46,15.69,15.46,15.55
2022-01-03 07:00:00,15.58,15.58,15.4,15.44
2022-01-03 08:00:00,15.44,15.68,15.44,15.58
2022-01-03 09:00:00,15.57,15.65,15.5,15.5
2022-01-03 10:00:00,15.52,15.81,15.44,15.53
2022-01-03 11:00:00,15.55,15.65,15.14,15.22
2022-01-03 12:00:00,15.21,15.41,15.2,15.37
2022-01-03 13:00:00,15.39,15.47,15.35,15.39
2022-01-03 14:00:00,15.38,15.57,15.38,15.54
2022-01-03 15:00:00,15.54,15.54,15.13,15.23
2022-01-03 16:00:00,15.25,15.49,15.25,15.45
2022-01-03 17:00:00,15.44,15.66,15.43,15.51
2022-01-03 18:00:00,15.52,15.68,15.52,15.56
2022-01-03 19:00:00,15.59,15.76,15.42,15.58
2022-01-03 20:00:00,15.59,15.59,15.3,15.32
2022-01-03 21:00:00,15.32,15.34,15.14,15.32
2022-01-03 22:00:00,15.33,15.43,15.19,15.42
2022-01-03 23:00:00,15.41,15.41,15.23,15.3
2022-01-04 00:00:00,15.29,15.43,15.27,15.36
2022-01-04 01:00:00,15.37,15.38,15.3,15.36
2022-01-04 02:00:00,15.36,15.4,15.31,15.4
2022-01-04 03:00:00,15.4,15.64,15.36,15.52
