datetime,WINGBUSD_open,WINGBUSD_high,WINGBUSD_low,WINGBUSD_close
2022-01-01 00:00:00,14.96,15.1,14.87,14.99
2022-01-01 01:00:00,14.95,15.0,14.84,14.84
2022-01-01 02:00:00,14.82,14.94,14.78,14.94
2022-01-01 03:00:00,14.95,15.0,14.91,14.97
2022-01-01 04:00:00,14.97,14.98,14.97,14.98
2022-01-01 05:00:00,14.96,14.96,14.79,14.8
2022-01-01 06:00:00,14.85,14.9,14.82,14.84
2022-01-01 07:00:00,14.87,14.94,14.87,14.92
2022-01-01 08:00:00,14.97,15.01,14.8,14.89
2022-01-01 09:00:00,14.89,14.91,14.84,14.86
2022-01-01 10:00:00,14.9,15.01,14.86,14.96
2022-01-01 11:00:00,14.99,15.05,14.99,15.01
2022-01-01 12:00:00,14.99,15.04,14.92,15.04
2022-01-01 13:00:00,15.04,15.25,14.99,15.19
2022-01-01 14:00:00,15.21,15.22,15.07,15.07
2022-01-01 15:00:00,15.13,15.18,15.11,15.12
2022-01-01 16:00:00,15.11,15.16,15.06,15.07
2022-01-01 17:00:00,15.08,15.08,15.07,15.07
2022-01-01 18:00:00,15.13,15.19,15.13,15.19
2022-01-01 19:00:00,15.1,15.13,15.04,15.05
2022-01-01 20:00:00,15.05,15.08,15.0,15.05
2022-01-01 21:00:00,15.06,15.08,14.99,14.99
2022-01-01 22:00:00,15.02,15.14,15.02,15.09
2022-01-01 23:00:00,15.14,15.14,14.88,14.88
2022-01-02 00:00:00,14.87,14.96,14.87,14.96
2022-01-02 01:00:00,14.93,15.0,14.93,15.0
2022-01-02 02:00:00,15.0,15.11,14.92,15.11
2022-01-02 03:00:00,15.0,15.09,14.93,15.09
2022-01-02 04:00:00,15.1,15.26,15.01,15.26
2022-01-02 05:00:00,15.23,15.34,15.16,15.16
2022-01-02 06:00:00,15.17,15.45,15.15,15.26
2022-01-02 07:00:00,15.27,15.37,15.23,15.31
2022-01-02 08:00:00,15.24,15.3,15.19,15.19
2022-01-02 09:00:00,15.27,15.27,15.18,15.18
2022-01-02 10:00:00,15.28,15.29,15.09,15.23
2022-01-02 11:00:00,15.23,15.4,15.14,15.4
2022-01-02 12:00:00,15.4,15.43,15.26,15.26
2022-01-02 13:00:00,15.26,15.62,15.18,15.49
2022-01-02 14:00:00,15.48,15.77,15.48,15.57
