datetime,XMRBUSD_open,XMRBUSD_high,XMRBUSD_low,XMRBUSD_close
2022-01-01 00:00:00,236.7,244.0,236.0,243.9
2022-01-01 01:00:00,243.6,245.5,242.3,243.3
2022-01-01 02:00:00,243.2,245.0,241.5,243.0
2022-01-01 03:00:00,243.3,245.7,242.0,244.1
2022-01-01 04:00:00,244.4,245.0,241.8,243.9
2022-01-01 05:00:00,244.0,244.3,239.5,241.4
2022-01-01 06:00:00,241.8,247.4,241.1,245.9
2022-01-01 07:00:00,246.0,247.5,245.2,246.4
2022-01-01 08:00:00,246.7,249.1,244.9,246.7
2022-01-01 09:00:00,246.8,249.7,245.5,248.4
2022-01-01 10:00:00,248.3,250.3,247.2,248.5
2022-01-01 11:00:00,248.5,250.2,247.6,248.6
2022-01-01 12:00:00,249.0,251.5,248.6,250.4
2022-01-01 13:00:00,250.7,252.9,249.6,251.8
2022-01-01 14:00:00,251.8,252.0,249.6,250.4
2022-01-01 15:00:00,250.2,251.2,249.1,249.9
2022-01-01 16:00:00,249.8,251.3,248.5,250.5
2022-01-01 17:00:00,250.4,250.4,248.8,249.3
2022-01-01 18:00:00,249.0,250.7,248.5,250.4
2022-01-01 19:00:00,250.2,251.2,248.2,249.9
2022-01-01 20:00:00,249.5,249.5,246.0,246.5
2022-01-01 21:00:00,246.8,248.0,245.8,246.0
2022-01-01 22:00:00,246.2,247.1,244.4,244.4
2022-01-01 23:00:00,244.3,246.1,243.0,244.2
2022-01-02 00:00:00,244.4,247.1,244.4,247.1
2022-01-02 01:00:00,246.6,246.9,245.5,245.5
2022-01-02 02:00:00,245.5,247.5,244.6,245.7
2022-01-02 03:00:00,245.6,248.9,244.9,248.3
2022-01-02 04:00:00,248.2,250.4,247.9,248.1
2022-01-02 05:00:00,248.5,250.9,248.2,248.4
2022-01-02 06:00:00,248.2,250.4,248.1,249.1
2022-01-02 07:00:00,248.8,249.8,247.9,249.4
2022-01-02 08:00:00,249.3,251.4,249.0,249.8
2022-01-02 09:00:00,249.8,250.3,248.1,249.3
2022-01-02 10:00:00,249.0,250.1,247.5,248.3
2022-01-02 11:00:00,248.2,248.8,246.0,246.5
2022-01-02 12:00:00,246.4,247.7,244.1,244.5
2022-01-02 13:00:00,244.6,245.2,241.4,242.8
2022-01-02 14:00:00,242.5,243.2,239.4,239.4
2022-01-02 15:00:00,239.4,240.2,237.5,238.5
2022-01-02 16:00:00,238.2,238.4,236.5,237.0
2022-01-02 17:00:00,236.9,240.5,236.6,239.6
