datetime,XRPTUSD_open,XRPTUSD_high,XRPTUSD_low,XRPTUSD_close
2022-01-01 00:00:00,0.8358,0.8457,0.8352,0.8434
2022-01-01 01:00:00,0.8426,0.8432,0.8382,0.8391
2022-01-01 02:00:00,0.8396,0.8414,0.8375,0.8414
2022-01-01 03:00:00,0.84,0.8418,0.8388,0.8409
2022-01-01 04:00:00,0.8417,0.8417,0.8377,0.8411
2022-01-01 05:00:00,0.8413,0.8413,0.8352,0.8394
2022-01-01 06:00:00,0.8393,0.8419,0.8393,0.8403
2022-01-01 07:00:00,0.8394,0.8432,0.8394,0.843
2022-01-01 08:00:00,0.8439,0.845,0.8413,0.8413
2022-01-01 09:00:00,0.8418,0.8429,0.8402,0.8402
2022-01-01 10:00:00,0.8404,0.845,0.8404,0.8415
2022-01-01 11:00:00,0.8469,0.8469,0.8447,0.8454
2022-01-01 12:00:00,0.8448,0.8527,0.8448,0.8515
2022-01-01 13:00:00,0.8515,0.8519,0.8497,0.8513
2022-01-01 14:00:00,0.8506,0.8552,0.8499,0.8499
2022-01-01 15:00:00,0.8525,0.8534,0.8459,0.8461
2022-01-01 16:00:00,0.8469,0.8503,0.8464,0.8472
2022-01-01 17:00:00,0.8453,0.8475,0.8453,0.8468
2022-01-01 18:00:00,0.8469,0.8501,0.8455,0.8501
2022-01-01 19:00:00,0.8493,0.8494,0.8428,0.8457
2022-01-01 20:00:00,0.8425,0.8425,0.8425,0.8425
2022-01-01 21:00:00,0.8418,0.8438,0.8416,0.8436
2022-01-01 22:00:00,0.8437,0.8452,0.8431,0.8431
2022-01-01 23:00:00,0.8463,0.8464,0.838,0.838
2022-01-02 00:00:00,0.8412,0.8434,0.8398,0.8423
2022-01-02 01:00:00,0.8421,0.8431,0.842,0.8421
2022-01-02 02:00:00,0.841,0.8422,0.8404,0.8413
2022-01-02 03:00:00,0.8404,0.8432,0.8404,0.8432
2022-01-02 04:00:00,0.8432,0.848,0.8432,0.8471
2022-01-02 05:00:00,0.8468,0.8469,0.8447,0.8452
2022-01-02 06:00:00,0.8445,0.8475,0.8444,0.8446
2022-01-02 07:00:00,0.8451,0.8472,0.8424,0.8468
2022-01-02 08:00:00,0.8451,0.8457,0.8451,0.8457
2022-01-02 09:00:00,0.8437,0.8447,0.8437,0.8447
2022-01-02 10:00:00,0.8476,0.8646,0.8473,0.86
2022-01-02 11:00:00,0.8579,0.8628,0.854,0.8628
2022-01-02 12:00:00,0.8632,0.8634,0.8565,0.8565
2022-01-02 13:00:00,0.855,0.855,0.8465,0.8505
2022-01-02 14:00:00,0.8514,0.8536,0.8512,0.8522
2022-01-02 15:00:00,0.8509,0.8533,0.8504,0.8509
2022-01-02 16:00:00,0.8508,0.8533,0.8508,0.852
2022-01-02 17:00:00,0.8536,0.8572,0.8536,0.8572
2022-01-02 18:00:00,0.8574,0.8604,0.8571,0.8598
2022-01-02 19:00:00,0.8577,0.8577,0.855,0.855
2022-01-02 20:00:00,0.8526,0.8526,0.8478,0.8517
2022-01-02 21:00:00,0.8497,0.8506,0.8484,0.8485
2022-01-02 22:00:00,0.8475,0.8498,0.8443,0.8454
2022-01-02 23:00:00,0.8451,0.8467,0.8425,0.8431
2022-01-03 00:00:00,0.842,0.8481,0.842,0.8474
2022-01-03 01:00:00,0.8454,0.8458,0.8439,0.8439
2022-01-03 02:00:00,0.8438,0.8443,0.8421,0.8421
2022-01-03 03:00:00,0.8438,0.8438,0.8403,0.8409
2022-01-03 04:00:00,0.8409,0.8409,0.8352,0.8364
2022-01-03 05:00:00,0.8364,0.8411,0.8364,0.8384
2022-01-03 06:00:00,0.8392,0.8462,0.8392,0.845
2022-01-03 07:00:00,0.8444,0.8454,0.8395,0.8395
2022-01-03 08:00:00,0.8404,0.8442,0.8404,0.8432
2022-01-03 09:00:00,0.8424,0.8446,0.8395,0.8403
2022-01-03 10:00:00,0.8412,0.842,0.8379,0.8385
2022-01-03 11:00:00,0.8391,0.8391,0.8252,0.8327
2022-01-03 12:00:00,0.833,0.8368,0.8318,0.8365
2022-01-03 13:00:00,0.8354,0.8365,0.8324,0.8338
2022-01-03 14:00:00,0.8338,0.8378,0.8337,0.8337
