datetime,XTZBUSD_open,XTZBUSD_high,XTZBUSD_low,XTZBUSD_close
2022-01-01 00:00:00,4.577,4.673,4.575,4.6
2022-01-01 01:00:00,4.607,4.608,4.558,4.565
2022-01-01 02:00:00,4.57,4.595,4.555,4.575
2022-01-01 03:00:00,4.576,4.621,4.574,4.592
2022-01-01 04:00:00,4.593,4.632,4.592,4.627
2022-01-01 05:00:00,4.623,4.627,4.546,4.59
2022-01-01 06:00:00,4.587,4.611,4.552,4.552
2022-01-01 07:00:00,4.554,4.625,4.554,4.607
2022-01-01 08:00:00,4.612,4.63,4.595,4.597
2022-01-01 09:00:00,4.597,4.643,4.597,4.606
2022-01-01 10:00:00,4.604,4.691,4.595,4.656
2022-01-01 11:00:00,4.664,4.684,4.511,4.512
2022-01-01 12:00:00,4.512,4.595,4.511,4.583
2022-01-01 13:00:00,4.583,4.633,4.555,4.595
2022-01-01 14:00:00,4.601,4.647,4.601,4.615
2022-01-01 15:00:00,4.618,4.776,4.618,4.721
2022-01-01 16:00:00,4.724,4.75,4.693,4.716
2022-01-01 17:00:00,4.712,4.729,4.698,4.726
2022-01-01 18:00:00,4.724,4.746,4.698,4.746
2022-01-01 19:00:00,4.742,4.785,4.703,4.709
2022-01-01 20:00:00,4.711,4.711,4.674,4.69
2022-01-01 21:00:00,4.69,4.741,4.69,4.719
2022-01-01 22:00:00,4.716,4.737,4.688,4.721
2022-01-01 23:00:00,4.721,4.766,4.68,4.719
2022-01-02 00:00:00,4.714,4.788,4.708,4.768
2022-01-02 01:00:00,4.766,4.769,4.711,4.747
2022-01-02 02:00:00,4.743,4.75,4.709,4.718
2022-01-02 03:00:00,4.718,4.719,4.676,4.701
2022-01-02 04:00:00,4.698,4.728,4.677,4.688
2022-01-02 05:00:00,4.691,4.7,4.684,4.686
2022-01-02 06:00:00,4.687,4.707,4.684,4.7
2022-01-02 07:00:00,4.69,4.709,4.644,4.694
2022-01-02 08:00:00,4.696,4.696,4.638,4.638
2022-01-02 09:00:00,4.637,4.657,4.624,4.651
2022-01-02 10:00:00,4.644,4.693,4.64,4.688
2022-01-02 11:00:00,4.688,4.777,4.684,4.756
2022-01-02 12:00:00,4.753,4.773,4.673,4.688
2022-01-02 13:00:00,4.689,4.693,4.588,4.645
2022-01-02 14:00:00,4.639,4.657,4.611,4.624
2022-01-02 15:00:00,4.62,4.653,4.61,4.642
2022-01-02 16:00:00,4.638,4.648,4.606,4.615
2022-01-02 17:00:00,4.618,4.653,4.618,4.644
2022-01-02 18:00:00,4.649,4.719,4.636,4.655
2022-01-02 19:00:00,4.654,4.654,4.571,4.584
2022-01-02 20:00:00,4.584,4.596,4.564,4.579
2022-01-02 21:00:00,4.576,4.581,4.534,4.541
2022-01-02 22:00:00,4.548,4.558,4.516,4.528
2022-01-02 23:00:00,4.533,4.561,4.525,4.539
