datetime,YGGBUSD_open,YGGBUSD_high,YGGBUSD_low,YGGBUSD_close
2022-01-01 00:00:00,5.356,5.431,5.346,5.405
2022-01-01 01:00:00,5.405,5.45,5.388,5.407
2022-01-01 02:00:00,5.396,5.412,5.381,5.395
2022-01-01 03:00:00,5.395,5.423,5.384,5.384
2022-01-01 04:00:00,5.396,5.404,5.356,5.36
2022-01-01 05:00:00,5.38,5.387,5.326,5.344
2022-01-01 06:00:00,5.346,5.356,5.34,5.34
2022-01-01 07:00:00,5.349,5.393,5.344,5.385
2022-01-01 08:00:00,5.39,5.39,5.324,5.359
2022-01-01 09:00:00,5.347,5.366,5.32,5.339
2022-01-01 10:00:00,5.333,5.389,5.318,5.37
2022-01-01 11:00:00,5.374,5.398,5.354,5.38
2022-01-01 12:00:00,5.383,5.438,5.37,5.425
2022-01-01 13:00:00,5.417,5.421,5.382,5.412
2022-01-01 14:00:00,5.412,5.422,5.393,5.403
2022-01-01 15:00:00,5.403,5.441,5.402,5.434
2022-01-01 16:00:00,5.442,5.498,5.421,5.496
2022-01-01 17:00:00,5.499,5.555,5.496,5.528
2022-01-01 18:00:00,5.532,5.596,5.496,5.579
2022-01-01 19:00:00,5.587,5.595,5.535,5.582
2022-01-01 20:00:00,5.568,5.617,5.553,5.607
2022-01-01 21:00:00,5.609,5.667,5.609,5.621
2022-01-01 22:00:00,5.638,5.672,5.627,5.663
2022-01-01 23:00:00,5.672,5.686,5.508,5.538
2022-01-02 00:00:00,5.526,5.624,5.519,5.617
2022-01-02 01:00:00,5.612,5.665,5.601,5.637
2022-01-02 02:00:00,5.632,5.64,5.555,5.555
2022-01-02 03:00:00,5.558,5.581,5.533,5.557
2022-01-02 04:00:00,5.557,5.632,5.549,5.593
2022-01-02 05:00:00,5.593,5.62,5.556,5.556
2022-01-02 06:00:00,5.558,5.594,5.558,5.586
2022-01-02 07:00:00,5.585,5.616,5.55,5.606
2022-01-02 08:00:00,5.605,5.618,5.582,5.605
2022-01-02 09:00:00,5.598,5.613,5.585,5.598
2022-01-02 10:00:00,5.602,5.674,5.588,5.652
2022-01-02 11:00:00,5.658,5.699,5.64,5.689
