datetime,ZECUSD_open,ZECUSD_high,ZECUSD_low,ZECUSD_close
2022-01-01 00:00:00,146.49,148.53,146.48,148.41
2022-01-01 01:00:00,148.1,148.95,147.54,147.95
2022-01-01 02:00:00,147.86,148.33,147.8,147.93
2022-01-01 03:00:00,147.88,148.24,147.74,148.07
2022-01-01 04:00:00,148.0,148.0,146.47,146.8
2022-01-01 05:00:00,146.85,148.6,146.2,147.85
2022-01-01 06:00:00,147.92,148.17,147.0,147.17
2022-01-01 07:00:00,147.18,148.49,146.82,147.76
2022-01-01 08:00:00,147.78,148.72,147.69,148.04
2022-01-01 09:00:00,148.04,148.04,146.78,147.62
2022-01-01 10:00:00,147.5,147.93,145.69,146.44
2022-01-01 11:00:00,146.64,147.25,145.9,145.9
2022-01-01 12:00:00,146.05,147.39,145.93,146.99
2022-01-01 13:00:00,147.06,147.4,146.45,146.62
2022-01-01 14:00:00,146.69,146.91,146.09,146.45
2022-01-01 15:00:00,146.27,148.09,146.24,147.35
2022-01-01 16:00:00,147.34,148.84,147.02,148.18
2022-01-01 17:00:00,148.24,150.89,148.04,150.0
2022-01-01 18:00:00,150.11,150.33,148.67,149.29
2022-01-01 19:00:00,149.36,149.38,148.52,148.88
2022-01-01 20:00:00,148.97,149.26,148.55,148.84
2022-01-01 21:00:00,148.85,149.47,148.54,149.38
2022-01-01 22:00:00,149.51,149.54,148.49,149.35
2022-01-01 23:00:00,149.31,150.36,148.98,150.36
2022-01-02 00:00:00,150.36,150.51,148.73,149.4
2022-01-02 01:00:00,149.41,149.5,148.77,149.11
2022-01-02 02:00:00,149.1,149.71,149.03,149.37
2022-01-02 03:00:00,149.46,149.74,149.16,149.67
2022-01-02 04:00:00,149.61,150.07,147.34,147.95
2022-01-02 05:00:00,148.0,148.85,147.81,148.35
2022-01-02 06:00:00,148.46,149.04,148.33,148.88
2022-01-02 07:00:00,148.72,149.27,148.41,148.76
2022-01-02 08:00:00,148.69,150.26,147.86,149.88
2022-01-02 09:00:00,149.81,151.39,149.81,150.54
2022-01-02 10:00:00,150.71,150.71,149.92,150.34
2022-01-02 11:00:00,150.61,151.77,150.61,151.28
2022-01-02 12:00:00,151.17,151.24,150.06,150.72
2022-01-02 13:00:00,150.82,150.82,149.65,150.04
2022-01-02 14:00:00,150.01,151.79,150.01,150.96
2022-01-02 15:00:00,151.09,152.46,151.05,152.4
2022-01-02 16:00:00,152.41,153.63,151.81,153.59
2022-01-02 17:00:00,153.63,154.36,152.9,153.2
2022-01-02 18:00:00,153.17,153.46,150.64,151.77
2022-01-02 19:00:00,151.77,152.82,151.71,152.6
2022-01-02 20:00:00,152.56,153.29,152.15,153.08
2022-01-02 21:00:00,153.15,155.5,152.17,152.69
2022-01-02 22:00:00,152.7,153.65,152.61,153.65
2022-01-02 23:00:00,153.65,154.35,153.06,153.06
2022-01-03 00:00:00,152.99,153.23,152.06,152.2
2022-01-03 01:00:00,152.17,154.12,151.93,154.12
2022-01-03 02:00:00,154.07,154.12,152.91,152.96
2022-01-03 03:00:00,153.13,153.7,151.16,152.11
2022-01-03 04:00:00,152.11,152.82,151.67,151.85
2022-01-03 05:00:00,151.88,153.11,151.44,152.46
2022-01-03 06:00:00,152.48,152.55,151.07,151.07
2022-01-03 07:00:00,151.22,151.32,150.75,151.18
2022-01-03 08:00:00,151.23,151.49,150.76,150.88
2022-01-03 09:00:00,150.94,151.13,150.08,150.62
2022-01-03 10:00:00,150.83,151.5,150.28,151.2
2022-01-03 11:00:00,151.33,152.16,151.33,151.78
2022-01-03 12:00:00,151.71,151.88,151.04,151.79
2022-01-03 13:00:00,151.9,152.5,151.77,152.09
2022-01-03 14:00:00,152.15,152.94,151.28,151.64
2022-01-03 15:00:00,151.73,151.86,149.76,150.33
2022-01-03 16:00:00,150.31,150.83,148.73,149.69
2022-01-03 17:00:00,149.55,150.87,149.47,150.8
2022-01-03 18:00:00,150.77,151.02,149.51,149.73
2022-01-03 19:00:00,149.73,150.26,148.8,148.8
2022-01-03 20:00:00,148.8,148.94,146.78,147.92
2022-01-03 21:00:00,147.92,148.43,147.14,147.6
2022-01-03 22:00:00,147.65,149.59,147.45,149.59
2022-01-03 23:00:00,149.58,150.95,149.15,150.55
2022-01-04 00:00:00,150.66,151.12,148.94,149.34
2022-01-04 01:00:00,149.34,150.91,148.45,148.62
2022-01-04 02:00:00,148.83,149.88,147.83,149.01
2022-01-04 03:00:00,149.04,150.38,148.25,150.16
2022-01-04 04:00:00,150.0,150.99,149.44,149.51
2022-01-04 05:00:00,149.35,151.24,149.35,151.24
2022-01-04 06:00:00,151.24,151.94,150.6,151.75
2022-01-04 07:00:00,151.77,154.4,151.64,154.03
2022-01-04 08:00:00,153.99,154.18,152.71,153.8
2022-01-04 09:00:00,153.6,153.96,153.35,153.91
2022-01-04 10:00:00,153.9,155.15,153.63,154.78
2022-01-04 11:00:00,154.74,155.95,152.61,153.73
2022-01-04 12:00:00,153.73,153.76,149.58,151.13
2022-01-04 13:00:00,151.11,151.59,148.27,151.59
2022-01-04 14:00:00,151.54,152.54,150.64,152.0
2022-01-04 15:00:00,152.07,152.79,151.15,151.4
2022-01-04 16:00:00,151.44,153.33,150.44,152.53
2022-01-04 17:00:00,152.55,153.08,151.57,151.74
2022-01-04 18:00:00,151.73,152.53,147.56,148.17
2022-01-04 19:00:00,148.11,150.94,147.43,148.36
2022-01-04 20:00:00,148.4,149.99,147.96,149.17
2022-01-04 21:00:00,149.07,149.4,148.37,148.82
2022-01-04 22:00:00,148.75,149.41,148.68,148.92
2022-01-04 23:00:00,148.9,149.14,147.22,147.58
2022-01-05 00:00:00,147.66,149.59,146.89,149.33
2022-01-05 01:00:00,149.28,149.74,148.36,149.12
2022-01-05 02:00:00,149.12,149.99,148.98,149.88
2022-01-05 03:00:00,149.97,150.5,149.73,149.86
2022-01-05 04:00:00,149.81,150.03,149.27,149.5
2022-01-05 05:00:00,149.51,149.65,149.1,149.62
2022-01-05 06:00:00,149.62,150.5,149.62,150.5
2022-01-05 07:00:00,150.41,150.5,149.8,150.21
2022-01-05 08:00:00,150.23,150.84,149.56,150.49
2022-01-05 09:00:00,150.58,151.23,150.55,151.0
2022-01-05 10:00:00,150.92,151.33,149.81,150.29
2022-01-05 11:00:00,150.14,150.24,148.58,149.3
2022-01-05 12:00:00,149.3,149.67,148.35,149.56
2022-01-05 13:00:00,149.51,150.34,149.04,149.98
2022-01-05 14:00:00,150.2,150.62,149.0,150.08
