datetime,ZENBUSD_open,ZENBUSD_high,ZENBUSD_low,ZENBUSD_close
2022-01-01 00:00:00,61.07,62.01,61.07,61.63
2022-01-01 01:00:00,61.65,61.79,61.36,61.38
2022-01-01 02:00:00,61.52,61.79,61.22,61.71
2022-01-01 03:00:00,61.67,61.87,61.67,61.82
2022-01-01 04:00:00,61.62,61.84,61.29,61.29
2022-01-01 05:00:00,61.4,61.53,60.67,61.14
2022-01-01 06:00:00,61.18,61.25,61.07,61.17
2022-01-01 07:00:00,61.19,61.82,61.19,61.82
2022-01-01 08:00:00,61.71,61.87,61.63,61.84
2022-01-01 09:00:00,61.84,61.84,61.57,61.57
2022-01-01 10:00:00,61.69,62.49,61.69,62.24
2022-01-01 11:00:00,62.32,62.64,62.27,62.64
2022-01-01 12:00:00,62.67,63.22,62.51,63.21
2022-01-01 13:00:00,63.21,63.25,62.8,63.2
2022-01-01 14:00:00,63.23,63.6,63.04,63.18
2022-01-01 15:00:00,63.28,63.82,63.28,63.66
2022-01-01 16:00:00,63.8,64.06,63.67,63.72
2022-01-01 17:00:00,63.59,63.77,63.55,63.76
2022-01-01 18:00:00,63.57,64.25,63.39,64.02
2022-01-01 19:00:00,64.05,64.39,64.0,64.06
2022-01-01 20:00:00,64.06,64.06,63.43,63.49
2022-01-01 21:00:00,63.4,64.31,63.4,63.47
2022-01-01 22:00:00,63.61,63.62,63.37,63.37
2022-01-01 23:00:00,63.33,63.33,62.18,62.59
2022-01-02 00:00:00,62.6,63.21,62.6,63.12
2022-01-02 01:00:00,63.12,63.24,63.01,63.01
2022-01-02 02:00:00,63.08,63.19,63.08,63.19
2022-01-02 03:00:00,62.7,63.46,62.7,63.31
2022-01-02 04:00:00,63.31,63.92,63.31,63.59
2022-01-02 05:00:00,63.71,63.92,63.45,63.76
2022-01-02 06:00:00,63.95,63.96,63.53,63.59
2022-01-02 07:00:00,63.48,63.76,63.18,63.72
2022-01-02 08:00:00,63.58,63.66,63.35,63.51
2022-01-02 09:00:00,63.51,63.78,63.44,63.78
2022-01-02 10:00:00,63.79,64.39,63.7,64.17
2022-01-02 11:00:00,64.41,65.16,64.37,65.16
2022-01-02 12:00:00,65.19,65.35,64.8,65.11
2022-01-02 13:00:00,64.91,64.91,63.18,64.21
2022-01-02 14:00:00,64.13,64.66,64.01,64.12
2022-01-02 15:00:00,64.04,64.66,64.04,64.66
2022-01-02 16:00:00,64.65,65.57,64.65,64.93
2022-01-02 17:00:00,65.11,65.19,64.94,65.18
2022-01-02 18:00:00,65.35,65.35,65.02,65.14
2022-01-02 19:00:00,65.18,65.71,64.49,65.12
2022-01-02 20:00:00,65.06,65.57,64.85,64.99
2022-01-02 21:00:00,65.04,65.43,64.6,65.12
2022-01-02 22:00:00,65.57,65.57,64.21,64.7
2022-01-02 23:00:00,64.85,65.99,64.65,64.77
2022-01-03 00:00:00,64.79,65.98,64.75,65.65
2022-01-03 01:00:00,65.2,65.58,65.12,65.43
2022-01-03 02:00:00,65.35,65.35,65.05,65.13
2022-01-03 03:00:00,65.54,65.93,64.95,64.98
2022-01-03 04:00:00,65.03,65.57,64.45,65.34
2022-01-03 05:00:00,65.52,66.33,65.35,66.06
2022-01-03 06:00:00,66.2,66.65,66.05,66.17
2022-01-03 07:00:00,66.03,66.29,65.79,65.84
2022-01-03 08:00:00,65.97,66.26,65.97,66.07
2022-01-03 09:00:00,65.96,66.46,65.59,65.59
2022-01-03 10:00:00,65.99,65.99,64.74,65.0
2022-01-03 11:00:00,65.0,65.0,63.12,63.35
2022-01-03 12:00:00,63.21,63.93,63.21,63.66
2022-01-03 13:00:00,63.7,63.99,63.45,63.54
2022-01-03 14:00:00,63.54,64.03,63.24,63.48
2022-01-03 15:00:00,63.51,63.51,61.94,62.38
2022-01-03 16:00:00,62.27,63.19,62.27,62.87
2022-01-03 17:00:00,62.95,63.75,62.95,63.42
2022-01-03 18:00:00,63.36,63.66,63.25,63.39
2022-01-03 19:00:00,63.49,63.78,62.57,62.81
2022-01-03 20:00:00,62.81,63.07,62.38,62.38
2022-01-03 21:00:00,62.51,62.78,62.01,62.58
2022-01-03 22:00:00,62.49,63.15,62.28,63.05
2022-01-03 23:00:00,62.95,63.13,62.61,62.61
2022-01-04 00:00:00,62.62,63.34,62.62,62.93
2022-01-04 01:00:00,62.93,63.34,62.93,63.34
2022-01-04 02:00:00,63.37,63.65,63.15,63.65
2022-01-04 03:00:00,63.67,64.11,63.47,63.75
2022-01-04 04:00:00,64.0,64.24,63.81,63.92
2022-01-04 05:00:00,63.86,64.42,63.86,64.28
2022-01-04 06:00:00,64.43,64.57,64.11,64.15
2022-01-04 07:00:00,64.02,64.02,63.83,63.91
2022-01-04 08:00:00,64.04,64.9,64.0,64.75
2022-01-04 09:00:00,64.93,66.0,64.84,65.68
2022-01-04 10:00:00,65.81,66.25,65.81,66.05
2022-01-04 11:00:00,65.68,66.07,65.68,66.07
2022-01-04 12:00:00,66.01,66.34,65.56,65.56
2022-01-04 13:00:00,65.79,66.19,64.1,64.34
2022-01-04 14:00:00,64.34,65.46,64.34,65.33
2022-01-04 15:00:00,65.62,66.59,65.62,65.94
2022-01-04 16:00:00,66.34,66.82,65.82,66.19
2022-01-04 17:00:00,66.09,66.09,65.44,65.62
2022-01-04 18:00:00,65.48,65.48,64.41,64.41
2022-01-04 19:00:00,64.5,65.52,64.1,65.52
2022-01-04 20:00:00,65.4,65.7,65.0,65.39
2022-01-04 21:00:00,65.47,66.06,65.03,65.93
2022-01-04 22:00:00,65.9,66.63,61.66,66.22
2022-01-04 23:00:00,66.3,67.41,66.19,67.29
2022-01-05 00:00:00,66.82,67.68,66.82,67.15
2022-01-05 01:00:00,67.01,67.8,66.79,67.64
2022-01-05 02:00:00,67.84,67.94,67.42,67.73
2022-01-05 03:00:00,67.8,68.12,67.23,67.96
2022-01-05 04:00:00,67.94,68.73,67.67,68.57
2022-01-05 05:00:00,68.62,68.62,68.35,68.45
2022-01-05 06:00:00,68.52,68.64,67.28,67.59
2022-01-05 07:00:00,68.2,68.47,66.91,67.88
2022-01-05 08:00:00,68.13,69.63,67.99,68.8
2022-01-05 09:00:00,68.8,69.36,67.94,68.61
2022-01-05 10:00:00,68.84,69.0,68.21,68.5
2022-01-05 11:00:00,68.76,68.76,67.23,67.23
2022-01-05 12:00:00,67.36,67.49,65.65,65.65
2022-01-05 13:00:00,65.85,66.67,65.35,65.99
2022-01-05 14:00:00,65.91,66.09,62.1,62.67
2022-01-05 15:00:00,62.68,62.99,60.6,61.41
2022-01-05 16:00:00,61.48,62.29,60.62,60.98
2022-01-05 17:00:00,61.02,61.4,57.18,60.46
2022-01-05 18:00:00,60.49,61.13,60.0,60.16
2022-01-05 19:00:00,60.45,60.7,59.63,60.47
2022-01-05 20:00:00,60.53,60.65,59.19,59.64
2022-01-05 21:00:00,59.41,59.61,58.76,58.82
2022-01-05 22:00:00,58.82,59.07,57.96,58.12
2022-01-05 23:00:00,57.93,58.78,57.79,58.75
2022-01-06 00:00:00,58.48,59.19,58.43,58.69
2022-01-06 01:00:00,58.54,58.89,57.91,58.3
2022-01-06 02:00:00,58.15,58.99,58.12,58.51
2022-01-06 03:00:00,58.51,58.57,57.32,57.96
2022-01-06 04:00:00,57.66,57.69,56.43,56.58
2022-01-06 05:00:00,56.72,57.87,56.72,57.65
2022-01-06 06:00:00,57.77,57.78,56.82,57.26
2022-01-06 07:00:00,57.61,57.61,56.46,57.32
2022-01-06 08:00:00,57.33,58.04,56.97,57.94
2022-01-06 09:00:00,58.09,58.14,57.15,57.36
2022-01-06 10:00:00,57.45,57.48,56.36,57.4
2022-01-06 11:00:00,57.16,57.67,56.88,57.48
2022-01-06 12:00:00,57.55,58.09,57.12,57.9
2022-01-06 13:00:00,57.71,58.49,57.66,58.17
2022-01-06 14:00:00,58.18,58.37,57.8,57.93
2022-01-06 15:00:00,58.16,58.16,57.32,57.58
2022-01-06 16:00:00,57.72,57.85,57.54,57.58
2022-01-06 17:00:00,57.58,58.04,57.48,58.04
2022-01-06 18:00:00,57.93,57.95,57.66,57.77
2022-01-06 19:00:00,57.83,57.83,56.99,57.29
2022-01-06 20:00:00,57.35,57.47,56.71,57.47
2022-01-06 21:00:00,57.22,57.22,56.56,56.56
2022-01-06 22:00:00,56.51,56.59,53.3,53.69
2022-01-06 23:00:00,53.66,54.38,52.08,54.06
2022-01-07 00:00:00,54.06,54.34,53.47,54.12
2022-01-07 01:00:00,54.03,54.03,52.61,52.73
2022-01-07 02:00:00,52.61,53.39,52.17,53.37
2022-01-07 03:00:00,53.37,55.2,53.37,54.9
2022-01-07 04:00:00,54.75,55.49,54.73,55.01
2022-01-07 05:00:00,55.24,55.87,54.59,54.59
2022-01-07 06:00:00,54.7,55.56,54.54,55.52
2022-01-07 07:00:00,55.54,55.56,54.95,55.19
2022-01-07 08:00:00,55.4,55.4,53.11,53.95
2022-01-07 09:00:00,54.1,56.18,54.1,55.92
2022-01-07 10:00:00,55.96,55.96,53.38,54.76
2022-01-07 11:00:00,54.96,56.3,53.98,56.3
2022-01-07 12:00:00,56.05,57.9,55.51,56.76
2022-01-07 13:00:00,56.23,56.23,54.57,54.84
2022-01-07 14:00:00,55.04,55.84,54.87,55.84
2022-01-07 15:00:00,55.91,55.91,55.12,55.31
2022-01-07 16:00:00,55.77,56.23,55.53,55.91
2022-01-07 17:00:00,55.8,55.8,54.69,54.69
2022-01-07 18:00:00,54.86,55.36,54.76,55.27
2022-01-07 19:00:00,55.19,56.12,55.19,56.12
2022-01-07 20:00:00,56.09,56.48,55.96,56.08
2022-01-07 21:00:00,55.95,56.18,55.7,56.18
2022-01-07 22:00:00,56.28,56.78,56.28,56.61
2022-01-07 23:00:00,56.8,56.89,56.21,56.41
2022-01-08 00:00:00,56.4,56.79,56.4,56.78
2022-01-08 01:00:00,56.49,56.9,56.31,56.8
2022-01-08 02:00:00,56.65,57.0,56.45,56.86
2022-01-08 03:00:00,56.99,57.89,56.83,57.84
2022-01-08 04:00:00,57.3,57.49,56.89,57.31
2022-01-08 05:00:00,57.31,57.54,56.45,56.6
2022-01-08 06:00:00,56.61,56.79,56.03,56.32
2022-01-08 07:00:00,56.16,56.3,55.73,55.86
2022-01-08 08:00:00,55.75,55.93,55.44,55.73
2022-01-08 09:00:00,55.72,56.0,55.19,55.36
2022-01-08 10:00:00,55.06,55.19,54.49,54.92
2022-01-08 11:00:00,54.75,55.2,53.66,53.76
2022-01-08 12:00:00,53.88,53.9,52.33,52.45
2022-01-08 13:00:00,52.47,53.08,51.46,51.66
2022-01-08 14:00:00,51.76,52.37,51.42,52.02
2022-01-08 15:00:00,52.23,52.42,51.39,51.84
2022-01-08 16:00:00,51.7,53.26,51.69,53.13
2022-01-08 17:00:00,53.07,58.53,53.07,55.98
2022-01-08 18:00:00,56.39,56.72,54.26,54.4
2022-01-08 19:00:00,54.45,55.89,54.39,55.43
2022-01-08 20:00:00,55.51,56.28,55.39,56.28
2022-01-08 21:00:00,56.38,57.66,56.31,57.46
2022-01-08 22:00:00,57.54,57.8,56.31,56.5
2022-01-08 23:00:00,56.5,58.31,56.5,57.22
2022-01-09 00:00:00,57.22,57.22,56.04,56.04
2022-01-09 01:00:00,56.18,56.8,56.11,56.68
2022-01-09 02:00:00,56.68,56.89,56.57,56.87
2022-01-09 03:00:00,56.62,56.62,55.45,55.77
2022-01-09 04:00:00,55.99,56.28,55.23,55.66
2022-01-09 05:00:00,55.71,56.12,55.44,55.84
2022-01-09 06:00:00,56.36,56.62,56.07,56.2
2022-01-09 07:00:00,56.14,56.14,55.89,55.89
2022-01-09 08:00:00,55.84,55.98,54.64,54.64
2022-01-09 09:00:00,54.7,55.27,54.61,55.27
2022-01-09 10:00:00,55.18,55.25,54.37,54.94
2022-01-09 11:00:00,54.96,56.3,54.88,56.3
2022-01-09 12:00:00,56.62,56.71,56.27,56.3
2022-01-09 13:00:00,56.39,56.42,55.73,55.73
2022-01-09 14:00:00,55.75,56.95,55.75,56.94
2022-01-09 15:00:00,56.88,56.92,56.33,56.5
2022-01-09 16:00:00,56.57,56.73,55.87,56.02
2022-01-09 17:00:00,56.17,56.54,55.89,55.89
