datetime,ZRXBUSD_open,ZRXBUSD_high,ZRXBUSD_low,ZRXBUSD_close
2022-01-01 00:00:00,0.8225,0.8375,0.8225,0.8349
2022-01-01 01:00:00,0.8367,0.8367,0.8262,0.8262
2022-01-01 02:00:00,0.8249,0.8305,0.8249,0.8296
2022-01-01 03:00:00,0.831,0.8327,0.8271,0.8271
2022-01-01 04:00:00,0.8262,0.8326,0.8239,0.8326
2022-01-01 05:00:00,0.8337,0.8375,0.8172,0.8305
2022-01-01 06:00:00,0.8318,0.8343,0.83,0.83
2022-01-01 07:00:00,0.8322,0.8482,0.8322,0.8421
2022-01-01 08:00:00,0.845,0.8452,0.8344,0.8344
2022-01-01 09:00:00,0.8371,0.8402,0.831,0.8342
2022-01-01 10:00:00,0.8354,0.842,0.8348,0.8379
2022-01-01 11:00:00,0.8383,0.8576,0.8383,0.8459
2022-01-01 12:00:00,0.8472,0.8627,0.8472,0.8605
2022-01-01 13:00:00,0.8612,0.865,0.859,0.8637
2022-01-01 14:00:00,0.8627,0.8656,0.8575,0.8651
2022-01-01 15:00:00,0.8626,0.8644,0.86,0.86
2022-01-01 16:00:00,0.8573,0.868,0.8429,0.8475
2022-01-01 17:00:00,0.8468,0.8534,0.8464,0.8525
2022-01-01 18:00:00,0.8487,0.875,0.8487,0.875
2022-01-01 19:00:00,0.876,0.876,0.8595,0.865
2022-01-01 20:00:00,0.865,0.866,0.8595,0.8599
2022-01-01 21:00:00,0.8589,0.8603,0.8549,0.8603
2022-01-01 22:00:00,0.8637,0.8637,0.86,0.86
2022-01-01 23:00:00,0.8632,0.865,0.8452,0.8452
2022-01-02 00:00:00,0.8525,0.8733,0.8525,0.8673
2022-01-02 01:00:00,0.8627,0.866,0.8595,0.866
2022-01-02 02:00:00,0.8674,0.8685,0.8649,0.8658
2022-01-02 03:00:00,0.8649,0.8773,0.8587,0.8712
2022-01-02 04:00:00,0.8711,0.886,0.8711,0.8743
2022-01-02 05:00:00,0.8778,0.8825,0.8697,0.876
2022-01-02 06:00:00,0.8787,0.8821,0.8691,0.8699
2022-01-02 07:00:00,0.8686,0.8843,0.8638,0.8771
2022-01-02 08:00:00,0.8797,0.88,0.8749,0.88
2022-01-02 09:00:00,0.8778,0.8811,0.875,0.8771
2022-01-02 10:00:00,0.877,0.9049,0.877,0.89
2022-01-02 11:00:00,0.8888,0.8953,0.8865,0.8894
2022-01-02 12:00:00,0.8895,0.8975,0.8862,0.8975
2022-01-02 13:00:00,0.8938,0.8946,0.8791,0.8915
2022-01-02 14:00:00,0.8937,0.9,0.8937,0.8972
2022-01-02 15:00:00,0.8944,0.9269,0.8825,0.8892
2022-01-02 16:00:00,0.8887,0.8943,0.8845,0.8925
2022-01-02 17:00:00,0.8959,0.899,0.891,0.8966
2022-01-02 18:00:00,0.8963,0.8975,0.8858,0.8858
2022-01-02 19:00:00,0.8889,0.9108,0.8886,0.9017
2022-01-02 20:00:00,0.9004,0.9175,0.9004,0.9175
2022-01-02 21:00:00,0.9164,0.9255,0.9117,0.9162
2022-01-02 22:00:00,0.9162,0.92,0.8993,0.8995
2022-01-02 23:00:00,0.9009,0.9216,0.8994,0.9162
2022-01-03 00:00:00,0.9125,0.9148,0.9087,0.9147
2022-01-03 01:00:00,0.9162,0.9198,0.9133,0.9139
2022-01-03 02:00:00,0.9141,0.9386,0.9141,0.9192
2022-01-03 03:00:00,0.9179,0.9235,0.8968,0.9091
